gene_id	gene_name	SRR2179997	SRR2179998
agat-gene-1	agat-gene-1	0	0.806762
agat-gene-10	agat-gene-10	0	0
agat-gene-100	agat-gene-100	0	0
agat-gene-101	agat-gene-101	0	0
agat-gene-102	agat-gene-102	0	0
agat-gene-103	agat-gene-103	0	0
agat-gene-104	agat-gene-104	0	0
agat-gene-105	agat-gene-105	0	0
agat-gene-106	agat-gene-106	0	0
agat-gene-107	agat-gene-107	0	0
agat-gene-108	agat-gene-108	0	0
agat-gene-109	agat-gene-109	0	0
agat-gene-11	agat-gene-11	0	0
agat-gene-110	agat-gene-110	0	0
agat-gene-111	agat-gene-111	0	0
agat-gene-112	agat-gene-112	0	0
agat-gene-113	agat-gene-113	0	0
agat-gene-114	agat-gene-114	0	0
agat-gene-115	agat-gene-115	0	0
agat-gene-116	agat-gene-116	0	0
agat-gene-117	agat-gene-117	0	0
agat-gene-118	agat-gene-118	0	0
agat-gene-119	agat-gene-119	0	0
agat-gene-12	agat-gene-12	0	0
agat-gene-120	agat-gene-120	0	0
agat-gene-121	agat-gene-121	0	0
agat-gene-122	agat-gene-122	0	0
agat-gene-123	agat-gene-123	0	0
agat-gene-124	agat-gene-124	0	0
agat-gene-125	agat-gene-125	0	0
agat-gene-126	agat-gene-126	0	0
agat-gene-127	agat-gene-127	0	0
agat-gene-128	agat-gene-128	0	0
agat-gene-129	agat-gene-129	0	0
agat-gene-13	agat-gene-13	0	0
agat-gene-130	agat-gene-130	0	0
agat-gene-131	agat-gene-131	0	0
agat-gene-132	agat-gene-132	0	0
agat-gene-133	agat-gene-133	0	0
agat-gene-134	agat-gene-134	0	0
agat-gene-135	agat-gene-135	0	0
agat-gene-136	agat-gene-136	0	0
agat-gene-137	agat-gene-137	0	0
agat-gene-138	agat-gene-138	0	0
agat-gene-139	agat-gene-139	0	0
agat-gene-14	agat-gene-14	0	0
agat-gene-140	agat-gene-140	0	0
agat-gene-141	agat-gene-141	0	0
agat-gene-142	agat-gene-142	0	0
agat-gene-143	agat-gene-143	0	0
agat-gene-144	agat-gene-144	0	0
agat-gene-145	agat-gene-145	0	0
