ID	Description	Cluster	FoldEnrichment	pvalue	p.adjust	p.adjust_hyper	GeneHits	GeneSetSize	RegionHits
GO:0030900	forebrain development	actinopterygii	5.14963444892517	1.32166348535674e-18	6.92551666326933e-16	5.93632944049344e-14	25	170	45
GO:0021536	diencephalon development	actinopterygii	7.27352247795688	1.14354370849893e-17	2.9960845162672e-15	1.08563731942287e-13	19	89	32
GO:0071599	otic vesicle development	actinopterygii	8.33465130661198	2.77415994083616e-14	4.8455326966605e-12	8.55404532723188e-05	8	59	23
GO:0035270	endocrine system development	actinopterygii	5.51365547329142	1.55990279059188e-11	2.04347265567536e-09	1.59768967237763e-07	15	123	25
GO:0001708	cell fate specification	actinopterygii	4.76288177066756	6.1294760046112e-11	6.42369085283253e-09	4.52484675132312e-07	15	136	27
GO:0045165	cell fate commitment	actinopterygii	3.81060580840076	1.44404532769076e-10	1.2611329195166e-08	5.48651510955742e-07	18	206	33
GO:0048839	inner ear development	actinopterygii	3.64404748079596	8.0624179639784e-10	6.03529573303526e-08	0.000140436108969212	14	207	32
GO:0043583	ear development	actinopterygii	3.60857336016749	1.01809202903788e-09	6.66850279019812e-08	0.000152311765716553	14	209	32
GO:0071600	otic vesicle morphogenesis	actinopterygii	8.00104323181362	1.4483176690515e-09	8.43242731758875e-08	0.000231737351136908	6	35	15
GO:0048732	gland development	actinopterygii	3.32597375347117	2.3265152404412e-09	1.21909398599119e-07	7.1174620064693e-06	19	275	34
GO:0045892	negative regulation of DNA-templated transcription	actinopterygii	2.83677539971789	3.15782455749447e-09	1.37891672343925e-07	1.06851663458708e-08	30	438	42
GO:1902679	negative regulation of RNA biosynthetic process	actinopterygii	2.83677539971789	3.15782455749447e-09	1.37891672343925e-07	1.06851663458708e-08	30	438	42
GO:0042472	inner ear morphogenesis	actinopterygii	4.48724547601969	1.0327720548504e-08	4.1628658210893e-07	0.000152769923864048	10	107	22
GO:0042471	ear morphogenesis	actinopterygii	4.44458279580086	1.22031822827935e-08	4.56747679727414e-07	0.000157996339739916	10	108	22
GO:0071696	ectodermal placode development	actinopterygii	6.68471102736169	1.53416534681859e-08	5.35935094488627e-07	0.000105545837600755	7	44	15
GO:0060788	ectodermal placode formation	actinopterygii	7.56652274332969	3.39168169547283e-08	1.11077575526735e-06	0.000140436108969212	6	31	13
GO:0030855	epithelial cell differentiation	actinopterygii	2.71546444069177	3.63624971213627e-08	1.12082049950553e-06	3.59692690042396e-05	20	348	39
GO:0048562	embryonic organ morphogenesis	actinopterygii	2.40322667349397	3.93500233310854e-08	1.14552290141604e-06	9.3543684891245e-08	30	487	48
GO:0090596	sensory organ morphogenesis	actinopterygii	2.61886951053446	4.26268095696902e-08	1.17560253760619e-06	2.21545175264879e-07	25	367	41
GO:0051253	negative regulation of RNA metabolic process	actinopterygii	2.55685635916497	5.55383094742839e-08	1.45510370822624e-06	9.3543684891245e-08	30	488	42
GO:0043049	otic placode formation	actinopterygii	7.90131902794232	7.18005090427233e-08	1.78433898111974e-06	0.000349366214211767	5	24	12
GO:0021903	rostrocaudal neural tube patterning	actinopterygii	5.48615300749838	7.49637661475159e-08	1.78433898111974e-06	0.00728016143088608	5	53	16
GO:0045944	positive regulation of transcription by RNA polymerase II	actinopterygii	2.55915474178127	7.8320222453729e-08	1.78433898111974e-06	2.21545175264879e-07	27	426	41
GO:0071697	ectodermal placode morphogenesis	actinopterygii	6.99291431372072	8.3219333701872e-08	1.81695545249087e-06	0.000258087686217616	6	36	13
GO:0030901	midbrain development	actinopterygii	6.89607188788389	9.74361066873278e-08	2.04226079616639e-06	0.00249633133520733	5	40	13
GO:0072006	nephron development	actinopterygii	3.9081125235163	1.10681703699191e-07	2.23066202839908e-06	0.000235155704684087	10	115	22
GO:0060993	kidney morphogenesis	actinopterygii	6.59173188308492	1.61966635056625e-07	3.13037921308304e-06	0.0242977409472361	4	49	13
GO:0009952	anterior/posterior pattern specification	actinopterygii	3.01259031145026	1.6727217169146e-07	3.13037921308304e-06	5.82881592057188e-05	17	272	30
GO:0030916	otic vesicle formation	actinopterygii	7.1513873731417	2.05903079617194e-07	3.72045564549688e-06	0.000626833886530319	5	28	12
GO:0021538	epithalamus development	actinopterygii	9.21641778663685	2.20370971325869e-07	3.84914629915852e-06	0.00226005765415314	4	22	10
GO:0060839	endothelial cell fate commitment	actinopterygii	12.8951447470335	3.02396324202131e-07	5.11147335102957e-06	0.0292912369531419	2	10	8
GO:0021532	neural tube patterning	actinopterygii	4.85504503649348	3.75053425678865e-07	6.10075499440408e-06	0.0116699937991753	5	61	16
GO:0060070	canonical Wnt signaling pathway	actinopterygii	3.28471251896686	3.8420785270102e-07	6.10075499440408e-06	0.000276704443657661	13	198	25
GO:0021983	pituitary gland development	actinopterygii	9.29575516302887	8.26438970008871e-07	1.27368829495485e-05	1.29310066302146e-05	6	19	9
GO:0072148	epithelial cell fate commitment	actinopterygii	10.7585485121955	1.15697971045252e-06	1.7321639093632e-05	0.0550909574385982	2	15	8
GO:0016055	Wnt signaling pathway	actinopterygii	2.6230509460456	1.27126997331324e-06	1.85040407226705e-05	8.63463708344801e-06	20	309	32
GO:0045743	positive regulation of fibroblast growth factor receptor signaling pathway	actinopterygii	10.0787047938248	1.8670305259365e-06	2.64411890700196e-05	0.00934921600979633	3	17	8
GO:0035775	pronephric glomerulus morphogenesis	actinopterygii	9.81670969470997	2.26284338000777e-06	3.12034192401071e-05	0.000480849697188304	4	14	8
GO:0000122	negative regulation of transcription by RNA polymerase II	actinopterygii	2.7276845530609	2.83799595603739e-06	3.813102258881e-05	3.88843477543721e-05	18	291	28
GO:0021549	cerebellum development	actinopterygii	5.51671648012107	2.96757068784036e-06	3.88751760107088e-05	0.00143950356899458	6	53	12
GO:0030902	hindbrain development	actinopterygii	3.15166928901292	3.63495650258033e-06	4.645651725249e-05	3.62526510121839e-05	13	154	22
GO:0031076	embryonic camera-type eye development	actinopterygii	4.14733647467709	5.67995761151421e-06	7.08642330579392e-05	9.45021959116682e-05	8	60	15
GO:0072009	nephron epithelium development	actinopterygii	4.08584292165707	6.76478446135584e-06	8.243597808722e-05	0.00108175048320749	7	71	15
GO:0030917	midbrain-hindbrain boundary development	actinopterygii	5.33531627162791	1.03553266511327e-05	0.000123322526481671	0.0186937593344452	4	45	11
GO:0021915	neural tube development	actinopterygii	3.25111179576526	1.07980477962306e-05	0.000125737267671663	0.00101619691224752	9	118	19
GO:0072102	glomerulus morphogenesis	actinopterygii	7.75852186518604	1.23181246588745e-05	0.000140319506983701	0.00098084463819872	4	17	8
GO:0009880	embryonic pattern specification	actinopterygii	4.73060586536069	1.35840608141625e-05	0.000151447826949386	0.0269753847168741	5	79	12
GO:0072028	nephron morphogenesis	actinopterygii	7.49474203981578	1.5741412159677e-05	0.000171843749409808	0.0143933568279517	3	21	8
GO:0001822	kidney development	actinopterygii	2.63177795426005	1.72269191448087e-05	0.000184043632301349	0.00321081646120965	12	238	25
GO:0021984	adenohypophysis development	actinopterygii	8.9060591807226	1.80714977076187e-05	0.000184043632301349	0.000805579047706148	4	16	7
GO:0072001	renal system development	actinopterygii	2.61998273906739	1.85313997141225e-05	0.000184043632301349	0.00339147540170226	12	240	25
GO:0039019	pronephric nephron development	actinopterygii	4.58072839988566	1.85604545254673e-05	0.000184043632301349	0.00117497294408822	6	51	12
GO:0030111	regulation of Wnt signaling pathway	actinopterygii	2.83143047179623	1.8615100213686e-05	0.000184043632301349	2.51262769541897e-05	15	195	22
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	actinopterygii	2.66083032525052	2.12509727977122e-05	0.000206213143444467	5.48651510955742e-07	16	161	24
GO:0060562	epithelial tube morphogenesis	actinopterygii	2.47922500441134	2.25035698108377e-05	0.000214397646925072	2.60158857477016e-05	18	279	27
GO:0022037	metencephalon development	actinopterygii	4.15132871677881	2.32683764180683e-05	0.000217725522197639	0.00098084463819872	7	69	13
GO:0061061	muscle structure development	actinopterygii	2.11034038957485	2.48831061439174e-05	0.000226946668803844	7.25864210049187e-06	25	455	37
GO:0048596	embryonic camera-type eye morphogenesis	actinopterygii	4.12021742952292	2.5120051127143e-05	0.000226946668803844	0.000197633975024742	7	50	13
GO:0044093	positive regulation of molecular function	actinopterygii	4.08847697800501	2.71728951782221e-05	0.000241332153786244	0.0122193427837264	6	89	13
GO:0072088	nephron epithelium morphogenesis	actinopterygii	8.32435368495603	2.76645247575156e-05	0.000241603516215636	0.066169044590598	2	17	7
GO:0072073	kidney epithelium development	actinopterygii	3.5810648772298	3.06220491613158e-05	0.000263048422303762	0.00238881681161675	7	83	15
GO:0060041	retina development in camera-type eye	actinopterygii	2.30024571479105	3.18280709281803e-05	0.000268998534941395	3.47955297260263e-05	19	316	30
GO:0048066	developmental pigmentation	actinopterygii	3.66286984050553	4.39507595571717e-05	0.000361504933904707	5.21526502922435e-05	10	92	14
GO:0072175	epithelial tube formation	actinopterygii	3.66127550233767	4.41532743700405e-05	0.000361504933904707	0.000289326572305821	8	74	14
GO:0061386	closure of optic fissure	actinopterygii	4.950439572086	4.81885896977509e-05	0.000388474169255715	0.000449884904119977	5	26	10
GO:0035118	embryonic pectoral fin morphogenesis	actinopterygii	4.90898003233244	5.16340911737637e-05	0.000409943390531093	0.00870212600560957	4	34	10
GO:0048592	eye morphogenesis	actinopterygii	2.32111913542764	6.73906965548352e-05	0.000524450647664069	1.96866516499467e-05	18	271	27
GO:0021575	hindbrain morphogenesis	actinopterygii	5.30383997239098	6.80584809945738e-05	0.000524450647664069	0.0150174970684564	4	42	9
GO:0060828	regulation of canonical Wnt signaling pathway	actinopterygii	3.17056871407439	6.99539719017648e-05	0.000527709186031353	0.0020888772083622	9	133	16
GO:0035148	tube formation	actinopterygii	3.50144470559523	7.04955019507533e-05	0.000527709186031353	0.000449884904119977	8	81	14
GO:0051090	regulation of DNA-binding transcription factor activity	actinopterygii	7.10121836145163	7.43507084489678e-05	0.000548729172214917	0.000416666568976785	5	25	7
GO:0060173	limb development	actinopterygii	3.45716739134728	8.04529480578794e-05	0.000585518677532345	0.003504486502704	7	90	14
GO:0035850	epithelial cell differentiation involved in kidney development	actinopterygii	4.12755865326833	0.000102006848037096	0.000725908949623478	0.00647354545233161	5	51	11
GO:0061005	cell differentiation involved in kidney development	actinopterygii	4.11968439262216	0.000103703037736433	0.000725908949623478	0.00678807734316884	5	52	11
GO:0021772	olfactory bulb development	actinopterygii	6.70972721765538	0.000105284504143863	0.000725908949623478	0.0337260807879165	2	11	7
GO:0021988	olfactory lobe development	actinopterygii	6.70972721765538	0.000105284504143863	0.000725908949623478	0.0337260807879165	2	11	7
GO:0051091	positive regulation of DNA-binding transcription factor activity	actinopterygii	8.16684524818726	0.000114720580698744	0.000780695899820027	0.00098084463819872	4	17	6
GO:0060729	intestinal epithelial structure maintenance	actinopterygii	10.852953719198	0.000116531698803598	0.00078285397657802	0.255964955681298	1	11	5
GO:0048048	embryonic eye morphogenesis	actinopterygii	3.52166110734857	0.000119553860003377	0.000792990160022402	0.000449884904119977	7	60	13
GO:0060900	embryonic camera-type eye formation	actinopterygii	4.00601323446427	0.000131920286464884	0.000864077876344993	0.000442952315542338	6	41	11
GO:0033339	pectoral fin development	actinopterygii	3.47814146950849	0.000134841017544642	0.000872304854239411	0.00862772445625318	6	81	13
GO:0030277	maintenance of gastrointestinal epithelium	actinopterygii	10.4703788420303	0.000137528940470338	0.000878843473249475	0.271722804830978	1	12	5
GO:0050931	pigment cell differentiation	actinopterygii	3.97200682757086	0.000141904879461525	0.000895881407684806	0.000158311598639416	8	66	11
GO:0048593	camera-type eye morphogenesis	actinopterygii	2.3399633621209	0.000149317828417697	0.000931458834415156	2.60158857477016e-05	16	223	24
GO:0060537	muscle tissue development	actinopterygii	2.33753173212788	0.000151601492595854	0.000934578613179149	0.000196905781404446	16	276	24
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	actinopterygii	2.28375751872426	0.000158122570310488	0.000963444498170879	1.09403157674213e-06	17	193	25
GO:0014032	neural crest cell development	actinopterygii	2.56545996834394	0.000162330382651223	0.000966603642150462	0.00160154850166948	10	155	20
GO:0048864	stem cell development	actinopterygii	2.56545996834394	0.000162330382651223	0.000966603642150462	0.00160154850166948	10	155	20
GO:0002072	optic cup morphogenesis involved in camera-type eye development	actinopterygii	4.21902243266085	0.000175130342477654	0.0010311044882954	0.00098084463819872	5	31	10
GO:0008283	cell population proliferation	actinopterygii	1.97480027579852	0.000181588902414307	0.00105725094294552	0.000157996339739916	22	465	34
GO:0035138	pectoral fin morphogenesis	actinopterygii	4.16216240658737	0.000194952752011095	0.00112258507751444	0.0140879095139001	4	41	10
GO:0021537	telencephalon development	actinopterygii	4.56569535046899	0.000206369810008797	0.00117541065700663	0.0101797542058043	4	36	9
GO:0048793	pronephros development	actinopterygii	2.763414267319	0.000212392814325029	0.00119670790006791	0.00516793893198206	9	155	17
GO:0021555	midbrain-hindbrain boundary morphogenesis	actinopterygii	9.45477400329638	0.000219659489825592	0.00122448481562351	0.0383880719491398	2	12	5
GO:0035113	embryonic appendage morphogenesis	actinopterygii	4.09150836742558	0.000223076122644671	0.00123044092911376	0.0140879095139001	4	41	10
GO:0039021	pronephric glomerulus development	actinopterygii	5.06550809309043	0.000232160636971372	0.00126721014346874	0.00678807734316884	4	31	8
GO:0014706	striated muscle tissue development	actinopterygii	2.28957867738145	0.00027546107867315	0.00148805778582197	0.000368430895492548	15	266	23
GO:0021587	cerebellum morphogenesis	actinopterygii	5.54201238035905	0.000332909448596222	0.00178004643943286	0.0287371057617648	3	28	7
GO:0098900	regulation of action potential	actinopterygii	8.50920483050925	0.000354599845560557	0.00185890515421608	0.00249633133520733	3	10	5
GO:0048863	stem cell differentiation	actinopterygii	2.0885291121064	0.000354752892025969	0.00185890515421608	0.000601473898783106	15	282	27
GO:0021986	habenula development	actinopterygii	6.49695624865699	0.000386457373960756	0.002004986771836	0.0779650427164863	2	19	6
GO:0014033	neural crest cell differentiation	actinopterygii	2.32431010725109	0.000412126060614502	0.00209917391000374	0.00104348220581203	11	174	21
GO:0043473	pigmentation	actinopterygii	2.70038189887024	0.00041262387925646	0.00209917391000374	0.000183981401923708	12	160	16
GO:0015868	purine ribonucleotide transport	actinopterygii	8.18561864888266	0.000422380497600441	0.00212814789175607	0.137895199731443	2	28	5
GO:0015865	purine nucleotide transport	actinopterygii	8.07880433987389	0.000448093274063362	0.00221510260008681	0.15174516364809	2	30	5
GO:0051503	adenine nucleotide transport	actinopterygii	8.07880433987389	0.000448093274063362	0.00221510260008681	0.15174516364809	2	30	5
GO:0040036	regulation of fibroblast growth factor receptor signaling pathway	actinopterygii	4.5729249230427	0.000454542127662095	0.0022259820083639	0.060982407869786	3	40	8
GO:0007422	peripheral nervous system development	actinopterygii	3.72017522730535	0.000466317360139019	0.00226250274734116	0.0140274691838938	5	65	10
GO:0060485	mesenchyme development	actinopterygii	2.07414541607957	0.000500782233691815	0.00240743018765606	0.000334806068526419	15	263	26
GO:0071363	cellular response to growth factor stimulus	actinopterygii	2.03097255756226	0.000539063271907228	0.00256790140435807	0.000265354209486558	17	318	27
GO:0070848	response to growth factor	actinopterygii	2.01790219372084	0.000592995191850782	0.00279936468945775	0.000276704443657661	17	320	27
GO:0001755	neural crest cell migration	actinopterygii	2.59765062740457	0.000621410301528657	0.00290731248215193	0.010745969088563	7	115	16
GO:0007517	muscle organ development	actinopterygii	2.34193839208757	0.000697178056110424	0.00323293187081294	0.00249633133520733	12	230	19
GO:0033333	fin development	actinopterygii	2.63804748970039	0.000778864193549506	0.00358004243350825	0.0055563741409749	8	127	15
GO:0033334	fin morphogenesis	actinopterygii	3.03699314512489	0.000786628639840786	0.00358429049805715	0.00678807734316884	6	76	12
GO:0042692	muscle cell differentiation	actinopterygii	2.03789903070028	0.000813508428738358	0.00367481393671465	4.32844076409699e-05	19	324	25
GO:0031016	pancreas development	actinopterygii	2.62119198460433	0.000829801824693075	0.0037163774028989	0.00249633133520733	10	167	15
GO:0032330	regulation of chondrocyte differentiation	actinopterygii	5.58261708027942	0.000846372914914687	0.00373060029087599	0.0834456568979013	2	20	6
GO:0021854	hypothalamus development	actinopterygii	4.72104086113969	0.000848742269852437	0.00373060029087599	0.0050284081368834	4	28	7
GO:0090497	mesenchymal cell migration	actinopterygii	2.51912202213646	0.000854335944475418	0.00373060029087599	0.0116699937991753	7	117	16
GO:0033993	response to lipid	actinopterygii	2.6074714153953	0.000873845872730466	0.00378425815959309	0.15174516364809	6	185	15
GO:0035107	appendage morphogenesis	actinopterygii	2.98672531153302	0.000906092151989398	0.00389174006264299	0.00780849530329289	6	79	12
GO:0045446	endothelial cell differentiation	actinopterygii	3.40062518596803	0.000917681647275444	0.0039094730339214	0.0386395765897286	4	59	10
GO:0021761	limbic system development	actinopterygii	4.64685104495391	0.000929438076674545	0.00391250067408088	0.0055563741409749	4	29	7
GO:0008543	fibroblast growth factor receptor signaling pathway	actinopterygii	3.16151081788734	0.000933325542481126	0.00391250067408088	0.00862772445625318	6	81	11
GO:0030878	thyroid gland development	actinopterygii	6.82853560972207	0.000947181225024892	0.00391483421635606	0.347750246708305	1	19	5
GO:0003205	cardiac chamber development	actinopterygii	3.68157585156914	0.000948824323429808	0.00391483421635606	0.0323811870268287	4	55	9
GO:0048665	neuron fate specification	actinopterygii	4.62129332510326	0.000959230646550489	0.00392685045931606	0.000231737351136908	6	35	7
GO:0021548	pons development	actinopterygii	5.43567620055592	0.000969538998274742	0.00393828244260438	0.0719018251559544	2	18	6
GO:0021515	cell differentiation in spinal cord	actinopterygii	3.36572808983727	0.00099063379902663	0.00399041197575966	2.62542767878433e-05	9	65	10
