id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0021536	diencephalon development	0.00702798554861672	53	3.77441392601435	1.12162211109602e-15	1.51531147209073e-12	59797	33	89	7.03529457294341	8.01889419859523e-20	3.61117535410072e-17
GO:0030900	forebrain development	0.013959240163263	76	2.7249361421651	2.54387543395811e-14	1.71838785563871e-11	75195	46	170	5.13413475608383	1.51752087492548e-20	1.02508535101216e-17
GO:0048562	embryonic organ morphogenesis	0.0319059858729228	120	1.88240727928832	9.7094138975567e-11	4.3724727251997e-08	47053	86	487	3.35064057378563	5.36883430840919e-23	7.25329515066081e-20
GO:0021538	epithalamus development	0.00173325919726973	20	5.77525278722189	8.8760452095473e-10	2.9978842695246e-07	32351	11	22	9.48698813624187	3.50641594975753e-09	1.63350618900773e-07
GO:0045892	negative regulation of DNA-templated transcription	0.0236510270653999	90	1.90457035630995	1.29966092963968e-08	2.41782185257773e-06	61460	66	438	2.8590923150318	1.78339875835032e-14	2.40937172253129e-12
GO:1902679	negative regulation of RNA biosynthetic process	0.0236510270653999	90	1.90457035630995	1.29966092963968e-08	2.41782185257773e-06	61460	66	438	2.8590923150318	1.78339875835032e-14	2.40937172253129e-12
GO:0051253	negative regulation of RNA metabolic process	0.0262402897670403	97	1.8501529129274	1.40855739210382e-08	2.41782185257773e-06	61586	72	488	2.79943912216973	3.55324170893316e-15	7.52987075212693e-13
GO:0048732	gland development	0.0163299842594516	69	2.11479288564202	1.43172278465003e-08	2.41782185257773e-06	28885	45	275	3.10483248095188	1.48111945842853e-11	1.42928027738353e-09
GO:0021986	habenula development	0.00147525459152084	16	5.42822103658228	9.43907951820667e-08	1.31022969602596e-05	32581	9	19	8.98767297117651	1.76443730142541e-07	4.58414383504949e-06
GO:0048706	embryonic skeletal system development	0.0154637032270788	64	2.07143344395928	9.69822128812704e-08	1.31022969602596e-05	47705	47	223	3.99899948343828	2.93276087772147e-16	9.90539986450427e-14
GO:0071599	otic vesicle development	0.00440824849245471	28	3.17904356753046	1.82988077721615e-07	2.24742630001729e-05	84599	12	59	3.85911381813229	4.95217486306742e-05	0.000423442293671144
GO:0048705	skeletal system morphogenesis	0.016335802209991	65	1.99148668148269	2.99404358120447e-07	3.3707940651727e-05	42075	48	245	3.71735045338457	2.89333942099339e-15	7.52987075212693e-13
GO:0045944	positive regulation of transcription by RNA polymerase II	0.0255925156062054	90	1.76008664947822	3.85221777221004e-07	4.00334323865828e-05	62722	61	426	2.71693087469838	1.64968264664046e-12	1.71440096585482e-10
GO:0035270	endocrine system development	0.00724312616736308	37	2.55670246391143	4.62567568928025e-07	4.46377704015545e-05	40353	25	123	3.85649924237474	5.40571052677294e-09	2.35584352311943e-07
GO:0009952	anterior/posterior pattern specification	0.015907680012632	63	1.98215776948574	5.27734658539032e-07	4.75313015790822e-05	24589	42	272	2.92980515972175	4.44430223556475e-10	2.85916777154666e-08
GO:0048704	embryonic skeletal system morphogenesis	0.0142082703956684	58	2.04310786750504	5.81534203221528e-07	4.91032942845178e-05	45494	43	203	4.01911812668375	4.38939892114401e-15	7.52987075212693e-13
GO:1904888	cranial skeletal system development	0.016893339122782	65	1.92576093429983	9.15045149242147e-07	7.17637934882376e-05	42156	47	263	3.39078663424614	1.99827137093316e-13	2.24972051844225e-11
GO:0001708	cell fate specification	0.00905565002284117	42	2.32131552875823	9.56142326268155e-07	7.17637934882376e-05	32934	24	136	3.34834875396772	1.83733752623723e-07	4.68347735461602e-06
GO:0045165	cell fate commitment	0.01383393024696	56	2.02603508386109	1.15857253262148e-06	8.23806048195591e-05	33020	34	206	3.13162715176916	3.4479678088808e-09	1.63350618900773e-07
GO:0042471	ear morphogenesis	0.00790710210219374	38	2.40530838899151	1.3654824310822e-06	9.22383382196024e-05	59247	24	108	4.21643917166305	1.65367386485252e-09	9.71353648441633e-08
GO:0043484	regulation of RNA splicing	0.00714663819443074	35	2.45115494039822	2.33044349745898e-06	0.000149925198336528	95604	22	125	3.33941982395714	6.15069806325875e-07	1.28735894920961e-05
GO:0045743	positive regulation of fibroblast growth factor receptor signaling pathway	0.00126797569500051	13	5.13141263839754	2.67914282394793e-06	0.000150183128283401	154131	6	17	6.69669750793544	0.000159235618333559	0.00104940156277385
GO:0006974	DNA damage response	0.019678095730136	71	1.80584219239845	2.71264893439406e-06	0.000150183128283401	36591	53	488	2.06069824270827	6.2890962729707e-07	1.28735894920961e-05
GO:0042472	inner ear morphogenesis	0.00783192498735874	37	2.36449130302048	2.73371372921868e-06	0.000150183128283401	60721	23	107	4.07851826417875	7.084866493853e-09	2.90050140399861e-07
GO:0000122	negative regulation of transcription by RNA polymerase II	0.0163979498489295	62	1.89237260248462	2.77911044195784e-06	0.000150183128283401	70303	44	291	2.86891737453362	3.4401417741844e-10	2.32381576846156e-08
GO:0071600	otic vesicle morphogenesis	0.00299481713166816	20	3.34244448656345	4.75131075126776e-06	0.000246885416344721	74728	10	35	5.4211360778525	8.84728852266048e-06	0.000104848129772933
GO:0060839	endothelial cell fate commitment	0.000991036003577618	11	5.55530322372825	7.43835064031904e-06	0.000372193026484112	47126	2	10	3.79479525449675	0.0943175166664204	0.132044523332989
GO:0019941	modification-dependent protein catabolic process	0.0193714671661839	68	1.75691566064991	1.03864044372769e-05	0.00050114401409861	22999	58	438	2.51253567078552	1.35855140840852e-10	1.14712684547495e-08
GO:0019228	neuronal action potential	0.000513482278655872	8	7.79774525906751	1.21660341225544e-05	0.000550268233242894	17741	5	12	7.90582344686822	0.000234757993310757	0.00143383119525945
GO:0043632	modification-dependent macromolecule catabolic process	0.019473438327998	68	1.74771570694331	1.22191317522478e-05	0.000550268233242894	22999	58	441	2.49544359139242	1.77628940497503e-10	1.33320388117848e-08
GO:0060173	limb development	0.00646894255348183	31	2.39846240513675	1.28886776149656e-05	0.000550799159127124	87330	18	90	3.79479525449675	9.22736848720901e-07	1.68461821975937e-05
GO:0043049	otic placode formation	0.00242609227721242	17	3.50708362926936	1.30463161303242e-05	0.000550799159127124	48371	9	24	7.1152411021814	1.96319034573375e-06	3.15746447272177e-05
GO:0021903	rostrocaudal neural tube patterning	0.00465883933539151	25	2.68575746269237	1.41404930825918e-05	0.000577782084437847	39443	11	53	3.93799507542115	8.33906092827578e-05	0.000619014907368163
GO:0071697	ectodermal placode morphogenesis	0.00296968791998395	19	3.20219153181621	1.45407778466964e-05	0.000577782084437847	44122	11	36	5.7976038610367	1.50388750809376e-06	2.67335792557194e-05
GO:0031017	exocrine pancreas development	0.00271931035818568	18	3.31297565277536	1.5551175715032e-05	0.000583601066416897	30749	10	53	3.57999552311014	0.00039496020581159	0.0020762304982547
GO:0035272	exocrine system development	0.00271931035818568	18	3.31297565277536	1.5551175715032e-05	0.000583601066416897	30749	10	53	3.57999552311014	0.00039496020581159	0.0020762304982547
GO:0048634	regulation of muscle organ development	0.000703702825475221	9	6.40114596877247	1.66234991996302e-05	0.000596000253356737	25659	4	15	5.05972700599566	0.00657696921523213	0.018207961905284
