id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0003009	skeletal muscle contraction	0.0035205344483695	47	2.02922111776689	8.56949515417512e-06	0.0167919487956207	87048	7	11	1.29254667891032	0.257306679863761	0.891971071304168
GO:0006941	striated muscle contraction	0.00710898245636031	78	1.66773588562614	1.72948710152396e-05	0.0167919487956207	57957	23	33	1.41564636261606	0.0139855596524441	0.625451480277134
GO:0050879	multicellular organismal movement	0.0038951038502809	49	1.91212884245424	2.49787263601646e-05	0.0167919487956207	84228	9	14	1.30573593073593	0.195386598839073	0.891971071304168
GO:0050881	musculoskeletal movement	0.0038951038502809	49	1.91212884245424	2.49787263601646e-05	0.0167919487956207	84228	9	14	1.30573593073593	0.195386598839073	0.891971071304168
GO:0032958	inositol phosphate biosynthetic process	0.00235764534285377	33	2.12752943843943	7.29336447350441e-05	0.0307174813356489	100990	6	9	1.35409652076319	0.238976016189975	0.891971071304168
GO:0050905	neuromuscular process	0.00581287829158739	64	1.67351210341032	8.36836280075648e-05	0.0307174813356489	75224	18	33	1.1078971533517	0.331206815527838	0.891971071304168
GO:0007224	smoothened signaling pathway	0.0093010231961375	93	1.51982062777513	8.56583953687489e-05	0.0307174813356489	74440	26	40	1.32024410774411	0.0324285295035304	0.682217238080549
GO:0051235	maintenance of location	0.00656515156739272	70	1.62066553551124	0.000102810461889491	0.0307174813356489	70241	22	32	1.39641203703704	0.0202838035078205	0.645548931365244
GO:0051651	maintenance of location in cell	0.00656515156739272	70	1.62066553551124	0.000102810461889491	0.0307174813356489	70241	22	32	1.39641203703704	0.0202838035078205	0.645548931365244
GO:0043647	inositol phosphate metabolic process	0.00253160853788375	34	2.04137352951527	0.000123419638723884	0.0320902279369485	98278	7	12	1.18483445566779	0.366566148454438	0.891971071304168
GO:0051208	sequestering of calcium ion	0.0055950324888021	61	1.65717104291177	0.000155140559010908	0.0320902279369485	78674	16	22	1.47719620446893	0.0220864639961333	0.645548931365244
GO:0051282	regulation of sequestering of calcium ion	0.0055950324888021	61	1.65717104291177	0.000155140559010908	0.0320902279369485	78674	16	22	1.47719620446893	0.0220864639961333	0.645548931365244
GO:0051283	negative regulation of sequestering of calcium ion	0.0055950324888021	61	1.65717104291177	0.000155140559010908	0.0320902279369485	78674	16	22	1.47719620446893	0.0220864639961333	0.645548931365244
GO:0051209	release of sequestered calcium ion into cytosol	0.00539547110591485	58	1.63394989974085	0.000310690489333478	0.0561295432533879	81968	15	21	1.4508177008177	0.033482128995743	0.682217238080549
GO:0019216	regulation of lipid metabolic process	0.00599206560658824	63	1.59810055852596	0.000313106414578215	0.0561295432533879	31052	32	48	1.35409652076319	0.0110373768387606	0.605704210600557
GO:0014904	myotube cell development	0.00787431603209281	78	1.50564253510254	0.000390345852089904	0.0578606871800185	69099	23	45	1.03814066591844	0.458744332713896	0.891971071304168
GO:0048741	skeletal muscle fiber development	0.00787431603209281	78	1.50564253510254	0.000390345852089904	0.0578606871800185	69099	23	45	1.03814066591844	0.458744332713896	0.891971071304168
GO:0097553	calcium ion transmembrane import into cytosol	0.00763923063340365	76	1.51218206899356	0.000407004384965323	0.0578606871800185	83975	24	37	1.31749931749932	0.0404107144377283	0.71481474793558
