id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0030900	forebrain development	0.013959240163263	329	3.44268449798401	2.89743645644016e-79	7.00889878812876e-76	73676	78	170	3.88655591401091	1.76965086071167e-28	1.42692847735385e-25
GO:0021536	diencephalon development	0.00702798554861672	186	3.86585169826992	4.38570308503929e-52	5.30450788135502e-49	63654	43	89	4.09258480717658	2.02860145271327e-17	2.4535934570567e-15
GO:0090596	sensory organ morphogenesis	0.025008961845665	381	2.22531972196522	7.51384247855313e-45	6.05866165187334e-42	50148	105	367	2.42349692814556	2.30422065177514e-18	3.7159398377627e-16
GO:0021879	forebrain neuron differentiation	0.00245430405706709	101	6.01112990769441	2.20959898414775e-44	1.33625498566335e-41	70696	15	27	4.70594377052604	5.08639635212296e-08	7.7847541282463e-07
GO:0021884	forebrain neuron development	0.00182749356852797	86	6.87393940152755	2.79528554627937e-42	1.35235914728996e-39	81513	8	15	4.51770601970499	0.000111778576594808	0.000621591670765148
GO:0045944	positive regulation of transcription by RNA polymerase II	0.0255925156062054	373	2.12891812878605	6.31916441237752e-40	2.54767645225687e-37	67240	141	426	2.80368199286269	2.96516613600189e-31	7.17273688298858e-28
GO:0051253	negative regulation of RNA metabolic process	0.0262402897670403	379	2.10976308249978	9.4999211822012e-40	3.28290133424924e-37	58466	151	488	2.62105638694462	9.62886894109122e-30	1.16461169842498e-26
GO:0021872	forebrain generation of neurons	0.0030215414653949	101	4.88265366832671	6.58210247159459e-37	1.99026323484841e-34	70696	15	32	3.97064005638134	9.26213089671903e-07	9.91375868989528e-06
GO:0048562	embryonic organ morphogenesis	0.0319059858729228	423	1.93656154654742	4.4198927606619e-36	1.18796895422679e-33	52731	148	487	2.57425753689556	2.92590433611538e-28	1.76944064726578e-25
GO:0030855	epithelial cell differentiation	0.0229427859762165	334	2.12649035977437	9.77186411346233e-36	2.36381392904654e-33	62987	106	348	2.58015537763324	9.6788716036748e-21	2.92664880116117e-18
GO:0045892	negative regulation of DNA-templated transcription	0.0236510270653999	339	2.09369202271654	5.08160933399925e-35	1.02436774824535e-32	63683	131	438	2.53347383810511	1.81425846833074e-24	6.26955890698867e-22
GO:1902679	negative regulation of RNA biosynthetic process	0.0236510270653999	339	2.09369202271654	5.08160933399925e-35	1.02436774824535e-32	63683	131	438	2.53347383810511	1.81425846833074e-24	6.26955890698867e-22
GO:0021953	central nervous system neuron differentiation	0.0108612487985042	202	2.71665639811943	7.61240367380721e-35	1.41649265284151e-32	55884	55	142	3.28090445973294	1.82241882639334e-16	1.76337245641819e-14
GO:0048593	camera-type eye morphogenesis	0.0163842984756032	261	2.32688950898022	6.68128590283605e-34	1.1544307570686e-31	49843	66	223	2.50702295936544	7.58636573535802e-13	3.59831739486883e-11
GO:0048706	embryonic skeletal system development	0.0154637032270788	247	2.33317090544335	2.58109900880881e-32	4.16245233487234e-30	64458	78	223	2.9628453156137	1.44250624324321e-19	3.17220236582302e-17
GO:0048592	eye morphogenesis	0.0185819804580556	278	2.18532433592042	1.00803039391581e-31	1.52401595180146e-29	48005	74	271	2.31303214108512	2.71980073718766e-12	1.17485678272445e-10
