id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0090596	sensory organ morphogenesis	0.0735219570809004	286	1.20545224109776	0.000763026331101113	0.261532229413063	58315	69	73	1.10815757048634	0.011577971737039	0.99986663242837
GO:0048882	lateral line development	0.0132768838906308	65	1.5171140625647	0.000894976717045727	0.261532229413063	39209	20	22	1.06581689915023	0.351356412428708	0.99986663242837
GO:0021515	cell differentiation in spinal cord	0.0132674965110239	64	1.49483076167478	0.0013786329260407	0.261532229413063	41454	18	21	1.00491307634165	0.626409822596577	0.99986663242837
GO:0048925	lateral line system development	0.0150604860159335	71	1.46089968735254	0.00140123057721944	0.261532229413063	45378	25	27	1.0855542491345	0.218066359803542	0.99986663242837
GO:0048562	embryonic organ morphogenesis	0.0721169792664076	278	1.19456092129758	0.00147373430967459	0.261532229413063	66898	79	88	1.05249418791085	0.144814862425812	0.99986663242837
GO:0021510	spinal cord development	0.0190000563242776	86	1.40263476031655	0.00151612886616268	0.261532229413063	56206	21	24	1.0258487654321	0.520970571162117	0.99986663242837
GO:0030855	epithelial cell differentiation	0.056474475714849	221	1.21266571860433	0.00225542132107227	0.280180857496889	78909	52	55	1.10844957511624	0.0288166120175828	0.99986663242837
GO:0048706	embryonic skeletal system development	0.0413639236743455	167	1.25111081318401	0.00234698782850481	0.280180857496889	78757	42	45	1.09423868312757	0.084573353899134	0.99986663242837
GO:0021953	central nervous system neuron differentiation	0.0361101202210415	147	1.26150633277819	0.00310495725601778	0.280180857496889	68286	33	37	1.0456527956528	0.347005829501266	0.99986663242837
GO:0009913	epidermal cell differentiation	0.0155893084004531	71	1.41134287338976	0.00318339068047303	0.280180857496889	46756	17	17	1.17239858906526	0.0663549543291312	0.99986663242837
GO:0048915	posterior lateral line system development	0.00753180757123457	39	1.60459866243341	0.00353275248259865	0.280180857496889	43546	16	18	1.04213207916912	0.493495784950055	0.99986663242837
GO:0042471	ear morphogenesis	0.0286471534335905	119	1.28726073373605	0.00398920996263233	0.280180857496889	63956	27	27	1.17239858906526	0.0133355805312758	0.99986663242837
GO:0042472	inner ear morphogenesis	0.0286471534335905	119	1.28726073373605	0.00398920996263233	0.280180857496889	63956	27	27	1.17239858906526	0.0133355805312758	0.99986663242837
GO:0048884	neuromast development	0.00907759607983028	45	1.53618207798792	0.00402709686227914	0.280180857496889	40314	13	14	1.08865583270345	0.367579189971358	0.99986663242837
GO:0048704	embryonic skeletal system morphogenesis	0.0364699697726377	147	1.24905903734537	0.00435817491481308	0.280180857496889	73563	39	42	1.08865583270345	0.114400698135311	0.99986663242837
