ID	Description	Cluster	FoldEnrichment	pvalue	p.adjust	p.adjust_hyper	GeneHits	GeneSetSize	RegionHits
GO:0021536	diencephalon development	actinopterygii	3.77441392601435	1.12162211109602e-15	1.51531147209073e-12	3.61117535410072e-17	33	89	53
GO:0030900	forebrain development	actinopterygii	2.7249361421651	2.54387543395811e-14	1.71838785563871e-11	1.02508535101216e-17	46	170	76
GO:0048562	embryonic organ morphogenesis	actinopterygii	1.88240727928832	9.7094138975567e-11	4.3724727251997e-08	7.25329515066081e-20	86	487	120
GO:0021538	epithalamus development	actinopterygii	5.77525278722189	8.8760452095473e-10	2.9978842695246e-07	1.63350618900773e-07	11	22	20
GO:0045892	negative regulation of DNA-templated transcription	actinopterygii	1.90457035630995	1.29966092963968e-08	2.41782185257773e-06	2.40937172253129e-12	66	438	90
GO:1902679	negative regulation of RNA biosynthetic process	actinopterygii	1.90457035630995	1.29966092963968e-08	2.41782185257773e-06	2.40937172253129e-12	66	438	90
GO:0051253	negative regulation of RNA metabolic process	actinopterygii	1.8501529129274	1.40855739210382e-08	2.41782185257773e-06	7.52987075212693e-13	72	488	97
GO:0048732	gland development	actinopterygii	2.11479288564202	1.43172278465003e-08	2.41782185257773e-06	1.42928027738353e-09	45	275	69
GO:0021986	habenula development	actinopterygii	5.42822103658228	9.43907951820667e-08	1.31022969602596e-05	4.58414383504949e-06	9	19	16
GO:0048706	embryonic skeletal system development	actinopterygii	2.07143344395928	9.69822128812704e-08	1.31022969602596e-05	9.90539986450427e-14	47	223	64
GO:0071599	otic vesicle development	actinopterygii	3.17904356753046	1.82988077721615e-07	2.24742630001729e-05	0.000423442293671144	12	59	28
GO:0048705	skeletal system morphogenesis	actinopterygii	1.99148668148269	2.99404358120447e-07	3.3707940651727e-05	7.52987075212693e-13	48	245	65
GO:0045944	positive regulation of transcription by RNA polymerase II	actinopterygii	1.76008664947822	3.85221777221004e-07	4.00334323865828e-05	1.71440096585482e-10	61	426	90
GO:0035270	endocrine system development	actinopterygii	2.55670246391143	4.62567568928025e-07	4.46377704015545e-05	2.35584352311943e-07	25	123	37
GO:0009952	anterior/posterior pattern specification	actinopterygii	1.98215776948574	5.27734658539032e-07	4.75313015790822e-05	2.85916777154666e-08	42	272	63
GO:0048704	embryonic skeletal system morphogenesis	actinopterygii	2.04310786750504	5.81534203221528e-07	4.91032942845178e-05	7.52987075212693e-13	43	203	58
GO:1904888	cranial skeletal system development	actinopterygii	1.92576093429983	9.15045149242147e-07	7.17637934882376e-05	2.24972051844225e-11	47	263	65
GO:0001708	cell fate specification	actinopterygii	2.32131552875823	9.56142326268155e-07	7.17637934882376e-05	4.68347735461602e-06	24	136	42
GO:0045165	cell fate commitment	actinopterygii	2.02603508386109	1.15857253262148e-06	8.23806048195591e-05	1.63350618900773e-07	34	206	56
