id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0003009	skeletal muscle contraction	0.00310210525891825	52	1.94577012882514	9.27977959183133e-06	0.0137446067807494	87246	7	12	1.1389441648133	0.420489808502447	0.935615886903431
GO:0050879	multicellular organismal movement	0.00348714974444485	56	1.86406970388398	1.42431158349735e-05	0.0137446067807494	82549	9	15	1.17148542666511	0.337787879845	0.935615886903431
GO:0050881	musculoskeletal movement	0.00348714974444485	56	1.86406970388398	1.42431158349735e-05	0.0137446067807494	82549	9	15	1.17148542666511	0.337787879845	0.935615886903431
GO:0014808	release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	0.00291602727532695	47	1.87090180624184	6.0212316351861e-05	0.0289044177230136	97783	4	5	1.56198056888681	0.203045621333424	0.930625046453184
GO:0070296	sarcoplasmic reticulum calcium ion transport	0.00291602727532695	47	1.87090180624184	6.0212316351861e-05	0.0289044177230136	97783	4	5	1.56198056888681	0.203045621333424	0.930625046453184
GO:1903514	release of sequestered calcium ion into cytosol by endoplasmic reticulum	0.00291602727532695	47	1.87090180624184	6.0212316351861e-05	0.0289044177230136	97783	4	5	1.56198056888681	0.203045621333424	0.930625046453184
GO:0032958	inositol phosphate biosynthetic process	0.0021926591832707	38	2.01167205329801	6.9889783786216e-05	0.0289044177230136	105609	6	10	1.17148542666511	0.407214359828262	0.935615886903431
GO:0007224	smoothened signaling pathway	0.00874365139780009	110	1.46030835185623	9.91102436539582e-05	0.0315541920651544	73799	28	44	1.24248454343269	0.0662436428205952	0.783736694268697
GO:0006941	striated muscle contraction	0.00686071942098331	90	1.52271129449135	0.000105154341335728	0.0315541920651544	56789	24	37	1.26647073152984	0.0663006596966632	0.783736694268697
GO:0043647	inositol phosphate metabolic process	0.00232678032728781	39	1.94560172220157	0.000111412838051318	0.0315541920651544	103127	7	13	1.05133307521227	0.535661271932668	0.935615886903431
GO:0046890	regulation of lipid biosynthetic process	0.00276297611999211	44	1.84850344084238	0.00013060411150401	0.0315541920651544	28064	14	23	1.18846347632692	0.237070126433357	0.930625046453184
GO:0019216	regulation of lipid metabolic process	0.00653165943701341	86	1.52833879424982	0.000130794578508412	0.0315541920651544	30886	33	55	1.17148542666511	0.120762098045081	0.803794827702292
GO:0050905	neuromuscular process	0.0055843533387304	74	1.53816720766683	0.000304999841290579	0.0509660221170581	76446	20	39	1.00126959544026	0.560872360173789	0.940200047888314
GO:0051235	maintenance of location	0.00681319300958986	87	1.48222208071373	0.000311709214108734	0.0509660221170581	66493	26	35	1.45041052825204	0.00454285924752907	0.487095463762839
GO:0051651	maintenance of location in cell	0.00681319300958986	87	1.48222208071373	0.000311709214108734	0.0509660221170581	66493	26	35	1.45041052825204	0.00454285924752907	0.487095463762839
GO:0051208	sequestering of calcium ion	0.00568544765449104	75	1.53123312732394	0.000316887184147512	0.0509660221170581	73866	19	25	1.48388154044247	0.0100986883791206	0.635558757772914
GO:0051282	regulation of sequestering of calcium ion	0.00568544765449104	75	1.53123312732394	0.000316887184147512	0.0509660221170581	73866	19	25	1.48388154044247	0.0100986883791206	0.635558757772914
GO:0051283	negative regulation of sequestering of calcium ion	0.00568544765449104	75	1.53123312732394	0.000316887184147512	0.0509660221170581	73866	19	25	1.48388154044247	0.0100986883791206	0.635558757772914
GO:0045834	positive regulation of lipid metabolic process	0.00133114228521486	25	2.18001884269336	0.000359247731960578	0.0547380096855723	21339	7	14	0.976237855554255	0.640007492427956	0.966774090289809
GO:0045444	fat cell differentiation	0.000635967827036084	15	2.7377944047251	0.000573129878663201	0.0806259365121209	23016	3	7	0.83677530476079	0.792964863991054	0.977349361539301
GO:0051209	release of sequestered calcium ion into cytosol	0.00553159096675971	72	1.51087020185616	0.000584851352937664	0.0806259365121209	76319	18	24	1.46435678333138	0.0152900227719539	0.757926251066589
GO:0034764	positive regulation of transmembrane transport	0.00131261504009537	24	2.12235771221157	0.000668942938372129	0.0880268093903324	25076	11	14	1.53408805872811	0.0351053397593985	0.783736694268697
GO:0035330	regulation of hippo signaling	0.0014809713109637	26	2.03784627851662	0.000736394908149064	0.0926897069170235	41408	10	12	1.62706309259042	0.0235198781654158	0.757926251066589
GO:1905952	regulation of lipid localization	0.00165254971141802	28	1.96674573436845	0.000804417761934763	0.0970328925333808	22246	11	17	1.26336663659962	0.192539338606895	0.918288937836839
GO:0034599	cellular response to oxidative stress	0.0028652787343475	42	1.70148111079149	0.000915726976741296	0.106041183906642	93577	10	20	0.976237855554255	0.630464165332055	0.966774090289809
GO:0046173	polyol biosynthetic process	0.00342512374991441	48	1.62670832175388	0.00105411043332214	0.114128245681607	87542	13	28	0.906506580157523	0.756841309728602	0.977349361539301
GO:0050688	regulation of defense response to virus	0.00135933591909233	24	2.04941149158445	0.00106440850894763	0.114128245681607	61297	2	7	0.55785020317386	0.945142748431183	0.98247334172649
GO:0042541	hemoglobin biosynthetic process	0.00213103595493852	33	1.79749578588812	0.00129607448047483	0.134004843606237	25440	9	12	1.46435678333138	0.0854190314217251	0.797001026365468
GO:0034762	regulation of transmembrane transport	0.00506075728100595	65	1.4908795794082	0.00141874651699773	0.136914255784978	21740	41	59	1.3568051551771	0.00332245655117795	0.475222937593568
GO:0051049	regulation of transport	0.0246553328258479	257	1.20994874112626	0.00144632202413216	0.136914255784978	36271	142	237	1.16983776783717	0.00412868251776019	0.487095463762839
GO:0015816	glycine transport	0.00180801746394236	29	1.86183030499394	0.00147926785368578	0.136914255784978	22983	7	11	1.24248454343269	0.302457470058341	0.931504655126487
GO:0046854	phosphatidylinositol phosphate biosynthetic process	0.00460240934739793	60	1.51325014966691	0.00151338728328818	0.136914255784978	76376	16	33	0.946654890234429	0.687477206569836	0.970851957570573
GO:0046474	glycerophospholipid biosynthetic process	0.0114216438499615	129	1.31100942730531	0.00168962989401957	0.144358278525438	59125	49	87	1.0996702280956	0.198481702377347	0.930625046453184
GO:0035329	hippo signaling	0.00287413959070899	41	1.65584895335854	0.00169539947145592	0.144358278525438	43735	18	26	1.35171395384435	0.0490025265001362	0.783736694268697
GO:0030537	larval behavior	0.00289347236822497	41	1.64478537460559	0.00190613564406899	0.156786339477143	97602	10	17	1.14851512418148	0.351404622607874	0.935615886903431
GO:0097553	calcium ion transmembrane import into cytosol	0.00795946560980816	94	1.37084597481945	0.00197094314124046	0.156786339477143	77884	27	42	1.25516295714118	0.0608145919233683	0.783736694268697
GO:0020027	hemoglobin metabolic process	0.0021918536508742	33	1.7476203974888	0.0020038323180153	0.156786339477143	25440	9	13	1.35171395384435	0.153384435388628	0.882580887320676
GO:0007015	actin filament organization	0.0269684191023952	277	1.19225457761769	0.00209347026221397	0.159017973974099	38978	121	224	1.05468554037558	0.218666824793407	0.930625046453184
GO:0019915	lipid storage	0.00144109745733699	24	1.93313688767398	0.00224687419309237	0.159017973974099	29441	8	15	1.04132037925787	0.538203247542958	0.935615886903431
GO:0170062	nutrient storage	0.00144109745733699	24	1.93313688767398	0.00224687419309237	0.159017973974099	29441	8	15	1.04132037925787	0.538203247542958	0.935615886903431
GO:0014904	myotube cell development	0.00731181756302284	87	1.38114292813449	0.00230699651361387	0.159017973974099	67379	24	50	0.937188341332085	0.72492342107802	0.977349361539301
GO:0048741	skeletal muscle fiber development	0.00731181756302284	87	1.38114292813449	0.00230699651361387	0.159017973974099	67379	24	50	0.937188341332085	0.72492342107802	0.977349361539301
GO:0008654	phospholipid biosynthetic process	0.0130770129247673	144	1.27819954122783	0.00239298021777332	0.161108784429157	55807	58	102	1.11023128670876	0.148008545557738	0.876246910817284
GO:0014902	myotube differentiation	0.00943560372639287	108	1.32861386555849	0.00254862885470311	0.167688193962852	68334	35	67	1.01994999834027	0.482388298287685	0.935615886903431
GO:0062197	cellular response to chemical stress	0.00304652352355981	42	1.60025603148739	0.00274040268925866	0.172768387134423	93577	10	23	0.848902483090656	0.829295289950636	0.977349361539301
GO:0045017	glycerolipid biosynthetic process	0.0120000161106479	133	1.28651403985837	0.00274519717035699	0.172768387134423	57973	52	96	1.05759101018378	0.316857962976491	0.935615886903431
GO:0001569	branching involved in blood vessel morphogenesis	0.00114667536641655	20	2.02457668425755	0.00300790747021479	0.185274300558975	56204	9	11	1.5974801272706	0.0389946664794931	0.783736694268697
GO:0003401	axis elongation	0.0057329740658845	70	1.41730324366196	0.00321192650381674	0.193719317261447	42268	26	38	1.33590443391635	0.0239539570208827	0.757926251066589
GO:0051050	positive regulation of transport	0.00615144814586581	74	1.39636537250708	0.00357246922643635	0.20753934927439	46811	41	61	1.31231974025326	0.00828268609067127	0.634970113636712
GO:0072132	mesenchyme morphogenesis	0.00092555672357753	17	2.13201668714929	0.00358444471976493	0.20753934927439	56778	4	5	1.56198056888681	0.203045621333424	0.930625046453184
GO:1903573	negative regulation of response to endoplasmic reticulum stress	0.00133355888240435	22	1.91494013956188	0.00370554817112347	0.210344352066715	28520	7	9	1.51859221975106	0.102354591270325	0.801476562137435
GO:0006896	Golgi to vacuole transport	0.00125944990192643	21	1.93545516823963	0.0039967285165883	0.222510174144675	23845	6	7	1.67355060952158	0.0708417087251588	0.783736694268697
GO:0008345	larval locomotory behavior	0.00257166217582356	36	1.62492492970184	0.00413061808503462	0.225625270871231	108795	7	14	0.976237855554255	0.640007492427956	0.966774090289809
GO:0170036	import into the mitochondrion	0.00127153288787392	21	1.91706313306472	0.00443818209818367	0.237935873597069	20326	3	7	0.83677530476079	0.792964863991054	0.977349361539301
GO:0055117	regulation of cardiac muscle contraction	0.0015289004885554	24	1.8221190158318	0.00460929598430336	0.238605922470971	21665	9	10	1.75722813999766	0.013051288062259	0.751208863277756
GO:0010882	regulation of cardiac muscle contraction by calcium ion signaling	0.000950125461670755	17	2.07688611575628	0.00461552043467164	0.238605922470971	22662	7	7	1.95247571110851	0.00923378019095333	0.635558757772914
GO:0042274	ribosomal small subunit biogenesis	0.00431523704804598	54	1.4525591295706	0.00550926843145999	0.279812844018889	22008	25	36	1.35588591049202	0.0205352922941463	0.757926251066589
GO:0008610	lipid biosynthetic process	0.0284264327400587	285	1.16377015410125	0.00595864474077789	0.297418560768138	43006	133	258	1.00650879681175	0.482176861265171	0.935615886903431
GO:0031623	receptor internalization	0.00174035274263643	26	1.7341265369372	0.00610771179696551	0.299691960207036	25087	12	13	1.80228527179247	0.00222609029635099	0.407015529230886
GO:0001906	cell killing	0.000666980824301301	13	2.26242776754397	0.00629173851904648	0.303576383543993	57971	4	7	1.11570040634772	0.52661146610525	0.935615886903431
GO:0006260	DNA replication	0.0100631134632657	111	1.2803695217711	0.00653456144937585	0.310123858949886	23986	54	88	1.19811009545295	0.0352897204401702	0.783736694268697
GO:0000028	ribosomal small subunit assembly	0.00038222512213885	9	2.7331785237477	0.00680908709385333	0.317940437688796	32659	5	5	1.95247571110851	0.0352227888949721	0.783736694268697
GO:0046323	D-glucose import	0.00107739958031762	18	1.93927956563481	0.00713653586330706	0.323287972832119	25581	6	11	1.06498675151373	0.532922627552167	0.935615886903431
GO:0098657	import into cell	0.0363532742878087	357	1.13990694876356	0.00714695345811938	0.323287972832119	40618	178	299	1.16234339992413	0.00216620893801374	0.407015529230886
GO:0006364	rRNA processing	0.00930631577675475	103	1.28470720044224	0.00777812393246746	0.34455212688761	22764	54	94	1.12163498297723	0.133777071308507	0.824009832847081
GO:0006979	response to oxidative stress	0.00597342548623949	70	1.36025179490826	0.00785507439536519	0.34455212688761	66048	28	54	1.01239481316738	0.517509425065444	0.935615886903431
GO:0006661	phosphatidylinositol biosynthetic process	0.00659287989914734	76	1.33808328647497	0.00840653027618907	0.36323739029205	65066	28	52	1.05133307521227	0.405353965252468	0.935615886903431
GO:0030318	melanocyte differentiation	0.00462053382631916	56	1.40682666459445	0.00872460758708407	0.371437337714829	39015	19	33	1.12415268215338	0.289385633705003	0.931504655126487
GO:0048754	branching morphogenesis of an epithelial tube	0.00127274118646867	20	1.82404108230419	0.00895472899495234	0.37570928174474	56204	9	15	1.17148542666511	0.337787879845	0.935615886903431
GO:0090329	regulation of DNA-templated DNA replication	0.00103309529851017	17	1.91008746474427	0.0100188414340595	0.409511642185602	50238	6	7	1.67355060952158	0.0708417087251588	0.783736694268697
GO:0043627	response to estrogen	0.00199892864191266	28	1.62594353175776	0.0102568019055079	0.409511642185602	31932	12	18	1.30165047407234	0.140768773017033	0.850212618291172
GO:0032366	intracellular sterol transport	0.00164207779026353	24	1.69653269170898	0.0104026726124126	0.409511642185602	50054	8	12	1.30165047407234	0.21814865688398	0.930625046453184
GO:0071391	cellular response to estrogen stimulus	0.00155387199284687	23	1.71813512003459	0.0104199616036941	0.409511642185602	27212	10	15	1.30165047407234	0.174164215363189	0.887685569500762
GO:0032350	regulation of hormone metabolic process	0.00112412045931457	18	1.85867891009428	0.0106302719694733	0.409511642185602	36473	5	7	1.39462550793465	0.246963320304321	0.930625046453184
GO:0006897	endocytosis	0.0257778422203695	257	1.15726090103503	0.0108526451907651	0.409511642185602	43569	115	191	1.17557438103392	0.00742842400172424	0.632508455440931
GO:0031644	regulation of nervous system process	0.00182855854005308	26	1.65047593967084	0.0109325722561922	0.409511642185602	25880	10	13	1.50190439316039	0.0552121852142127	0.783736694268697
GO:0043271	negative regulation of monoatomic ion transport	0.000717326599082499	13	2.10363862046761	0.0110138328442529	0.409511642185602	47807	8	11	1.41998233535164	0.129662239909143	0.803794827702292
GO:0006360	transcription by RNA polymerase I	0.00147412428559346	22	1.73234065630857	0.0110334742972287	0.409511642185602	18577	12	16	1.46435678333138	0.0471580993876672	0.783736694268697
GO:0003333	amino acid transmembrane transport	0.00608136682737038	70	1.33610797869292	0.0113249214986114	0.415008199221266	20045	33	54	1.19317960123298	0.0929363578199791	0.801476562137435
