id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0031033	myosin filament organization	0.000682841997482474	227	13.9064694180717	1.09042957641557e-170	3.49482679241191e-167	102194	8	11	2.48654951696121	0.00359439425823115	0.00698183854401869
GO:0007519	skeletal muscle tissue development	0.00851420030582914	560	2.75141066124238	8.21651315164896e-95	9.43583890994806e-92	66049	91	160	1.94455942693607	2.97828981984692e-13	3.42129708695677e-12
GO:0060538	skeletal muscle organ development	0.00912905186554575	585	2.68065820750144	8.83229851165185e-95	9.43583890994806e-92	64675	101	173	1.99606684490167	1.43795370356935e-15	2.05742929461597e-14
GO:0014706	striated muscle tissue development	0.016047150692165	837	2.18191977839481	6.21702153204739e-91	4.98138850255297e-88	67127	164	266	2.1079583311081	4.9144140592153e-28	3.35121214037979e-26
GO:0060537	muscle tissue development	0.0164013423304696	839	2.13990167879421	2.83690131115137e-87	1.81845374044803e-84	66982	166	276	2.05635843205216	1.30768957204715e-26	7.76137977483538e-25
GO:0007517	muscle organ development	0.0129599641912978	709	2.28851459023942	2.47468547661671e-85	1.32189449209276e-82	65825	137	230	2.03653810981552	1.11025095136257e-21	3.45471291176412e-20
GO:0030239	myofibril assembly	0.00764228216323502	481	2.63289330372176	9.46153237100474e-76	4.3320301784386e-73	72042	71	122	1.98974915240441	2.66577464894018e-11	2.34719993127837e-10
GO:0031032	actomyosin structure organization	0.0109070296984239	602	2.30887939262293	6.69321732085331e-74	2.68147018916686e-71	65737	100	182	1.87857449770421	3.90073755292196e-13	4.44906187085939e-12
GO:0140694	membraneless organelle assembly	0.0136444572194708	695	2.13078579351197	1.09755980921335e-71	3.90853243169866e-69	58204	144	274	1.79684965094277	5.08879117794942e-16	7.80362474896072e-15
GO:0061061	muscle structure development	0.0280075345199699	1170	1.74752031762258	6.26378872417661e-71	2.0075442860986e-68	58624	266	455	1.99880326555728	1.14765205243266e-38	4.08691647560742e-36
GO:0010927	cellular component assembly involved in morphogenesis	0.00835916907617639	493	2.46714719810032	4.58290267443166e-69	1.22401692262945e-66	71159	79	136	1.98604000941112	2.38719653238533e-12	2.43661302111305e-11
GO:0032989	cellular anatomical entity morphogenesis	0.00835916907617639	493	2.46714719810032	4.58290267443166e-69	1.22401692262945e-66	71159	79	136	1.98604000941112	2.38719653238533e-12	2.43661302111305e-11
GO:0055002	striated muscle cell development	0.012990016815154	653	2.10288111094339	2.11161429311702e-65	5.20594139187695e-63	62895	126	224	1.92319064202469	3.08313888582449e-17	5.52036878718855e-16
GO:0051146	striated muscle cell differentiation	0.0159171423787423	742	1.95006934914549	1.10846884677141e-61	2.53760189564455e-59	63184	152	260	1.99880326555728	9.74060253789527e-23	3.58834840620165e-21
GO:0042692	muscle cell differentiation	0.019596703092154	852	1.81872833938014	2.27638496173092e-58	4.86387586823174e-56	61600	187	324	1.97331495231065	1.12599641180555e-26	6.80909150912601e-25
GO:0055001	muscle cell development	0.0149676713488899	698	1.95079860325744	3.93502145719038e-58	7.46412576214758e-56	60608	144	263	1.87200305839665	4.65047596985053e-18	9.35701580201795e-17
GO:0006511	ubiquitin-dependent protein catabolic process	0.0191628947782279	837	1.82715585966154	3.95913066946986e-58	7.46412576214758e-56	33352	254	429	2.02430633752612	2.77322886029296e-38	8.88819849723895e-36
GO:0019941	modification-dependent protein catabolic process	0.0193714671661839	843	1.820439757897	6.43317761755316e-58	1.14546301468099e-55	33178	257	438	2.00612884830175	8.79677974927128e-38	2.34947325803454e-35
GO:0043632	modification-dependent macromolecule catabolic process	0.019473438327998	846	1.81735167462624	7.7964335666322e-58	1.31513524110822e-55	33116	259	441	2.00798740754606	3.67289578997418e-38	1.07014827335157e-35
GO:0032446	protein modification by small protein conjugation	0.0212862748577666	888	1.74511701161137	1.1896196859624e-53	1.90636554675475e-51	34929	276	489	1.92974548402205	2.64262832688558e-36	6.04973127690592e-34
GO:0010498	proteasomal protein catabolic process	0.0149446383663892	678	1.89782225656808	1.57592048610029e-52	2.40515483711973e-50	31041	208	344	2.06730570305496	2.01290928558897e-33	3.22568713015632e-31
GO:0016567	protein ubiquitination	0.0196957849502597	826	1.75435712717437	8.69725917173118e-51	1.26703252933629e-48	35868	259	447	1.98103455643806	9.03875801608273e-37	2.22840149550347e-34
GO:0006325	chromatin organization	0.0159760783764589	700	1.83290142779424	3.37770079238654e-49	4.70675262591255e-47	36537	216	398	1.85554071994342	1.21270090003852e-25	6.47784397437243e-24
GO:0006974	DNA damage response	0.019678095730136	817	1.736801715851	1.10715063194634e-48	1.47850740641168e-46	32203	262	488	1.83561365468294	8.47937643132393e-30	7.54900040622033e-28
GO:0006412	translation	0.0185587949346759	778	1.75364255542077	7.9613794532125e-48	1.02064884590184e-45	27506	241	464	1.77581971160134	7.69998777040157e-25	3.73916072789955e-23
GO:0048738	cardiac muscle tissue development	0.00824282594068443	430	2.18224535810507	3.11209757195692e-47	3.8362587377392e-45	80681	80	119	2.29849115013221	1.15388358107355e-17	2.18828217594126e-16
GO:0003015	heart process	0.0103839242300161	504	2.03039379689673	1.00016192993912e-46	1.18722925387218e-44	57761	98	207	1.6186596493262	2.87001386592121e-08	1.61658953256195e-07
GO:0060047	heart contraction	0.0102936221003313	498	2.02382228772504	7.9504587407582e-46	9.10043580861787e-44	58211	97	204	1.6257036363956	2.57083170542512e-08	1.46090702409353e-07
GO:0090407	organophosphate biosynthetic process	0.0176089511805037	731	1.73658137761732	1.21635346497598e-43	1.34428029491311e-41	36944	233	403	1.97674516500359	5.01714456824147e-33	7.30906742782451e-31
GO:0045214	sarcomere organization	0.003934594568286	254	2.70050496765602	1.73783578337157e-42	1.85658789523529e-40	84440	34	62	1.8749385470635	2.22247492872746e-05	7.70890924953626e-05
GO:0014866	skeletal myofibril assembly	0.00179561528573523	158	3.68090869679194	1.18441155310834e-41	1.22452871861685e-39	76742	15	24	2.13687849113854	0.000730436760861455	0.00174574930541459
GO:0006281	DNA repair	0.0142805195539026	615	1.80153357116864	2.99518972059303e-41	2.99986970453146e-39	30974	195	363	1.83665589320999	1.33701895331151e-22	4.81477050040832e-21
GO:0006417	regulation of translation	0.00808754622815185	404	2.08966101715275	2.24948687751711e-40	2.18472892195222e-38	32768	105	163	2.20242691111212	1.45610829656947e-20	4.05811051348274e-19
GO:0006886	intracellular protein transport	0.0161630003130484	670	1.73405981215835	6.54192392694228e-40	6.16672534877942e-38	31983	211	385	1.87379267171006	8.0913239164125e-26	4.39537172069526e-24
GO:0016071	mRNA metabolic process	0.0237913695057031	904	1.58949893160743	1.45847210803277e-39	1.33554374464143e-37	42725	284	491	1.97759182560764	5.4385779408676e-40	4.35766057512016e-37
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.0123674415792557	546	1.84681769545506	1.78170139235854e-39	1.58620915625253e-37	32898	169	277	2.08596369676484	4.4168436428884e-28	3.07738779901246e-26
GO:0030099	myeloid cell differentiation	0.0122456207767237	541	1.84810954915076	3.33609672370665e-39	2.88978108094049e-37	33736	140	257	1.86249331523359	2.39967669197906e-17	4.34517728688865e-16
GO:0048562	embryonic organ morphogenesis	0.0319059858729228	1140	1.4946652402498	1.19616023778195e-38	1.00886672686609e-36	49063	298	487	2.09212251452743	8.71082350947344e-49	2.79181893478624e-45
GO:1904888	cranial skeletal system development	0.016893339122782	678	1.67890238288331	2.39228386202965e-36	1.9659666096936e-34	51359	159	263	2.06700337697964	6.77152478358712e-26	3.7418511950684e-24
GO:0003013	circulatory system process	0.0172414733006602	688	1.66926511052049	3.70641496650397e-36	2.96976499191131e-34	56273	158	312	1.73141949538405	1.5595497880164e-15	2.22149203137447e-14
GO:0008015	blood circulation	0.0170774828827288	682	1.67059727213166	5.98010040444623e-36	4.67468824298784e-34	56587	157	305	1.75994713761968	2.93506656702967e-16	4.63393514646803e-15
GO:0032787	monocarboxylic acid metabolic process	0.0138885164138189	576	1.73491370986938	1.52019825037188e-34	1.1600560458195e-32	33891	183	339	1.8456578826117	1.29188048519836e-21	3.98122784140455e-20
GO:0010629	negative regulation of gene expression	0.0183438337757872	713	1.62596306290138	3.74046061849767e-34	2.78794797262443e-32	28995	229	433	1.80820387795187	4.7122247260757e-25	2.3234892687804e-23
GO:0009799	specification of symmetry	0.0174174909802061	683	1.64038716046406	8.28565516946767e-34	5.90122773736531e-32	43435	182	336	1.85196135898674	1.00820522557211e-21	3.16793896858689e-20
GO:0009855	determination of bilateral symmetry	0.0174174909802061	683	1.64038716046406	8.28565516946767e-34	5.90122773736531e-32	43435	182	336	1.85196135898674	1.00820522557211e-21	3.16793896858689e-20
GO:0010608	post-transcriptional regulation of gene expression	0.0141478448811332	581	1.71789689550707	9.14041596782959e-34	6.36848547323779e-32	31435	167	306	1.86592788507261	1.67253427784698e-20	4.62109686249964e-19
GO:0007018	microtubule-based movement	0.0119287312502946	510	1.78849270827056	1.0316154307665e-33	7.03473926724815e-32	40493	147	259	1.94051668384473	2.3800823888412e-20	6.15174520664196e-19
GO:0006644	phospholipid metabolic process	0.0125116292921243	527	1.76200849950724	2.8524625346642e-33	1.90461300491641e-31	38346	155	278	1.90628009281424	2.42592600577752e-20	6.17594150508895e-19
GO:0060972	left/right pattern formation	0.01614567001264	641	1.66078421882959	3.40444760264089e-33	2.22678664621715e-31	40892	169	315	1.83432363175829	1.0203299114456e-19	2.40452747513468e-18
GO:0048705	skeletal system morphogenesis	0.016335802209991	644	1.64913668585842	1.51082533485344e-32	9.68439039641058e-31	49008	149	245	2.07931360117318	9.76401461293456e-25	4.67069654245601e-23
GO:0030900	forebrain development	0.013959240163263	568	1.70214991911076	4.4436064557384e-32	2.79250170404737e-30	67215	120	170	2.41341570763882	8.86747049179748e-29	6.93176656736852e-27
GO:0007368	determination of left/right symmetry	0.0158886227562087	626	1.6481598544586	1.30863158383548e-31	8.06570043498601e-30	41263	164	308	1.82050946777517	9.38048382881173e-19	2.0452007259416e-17
GO:0034655	nucleobase-containing compound catabolic process	0.013404046582075	548	1.71023536221261	1.78570899833905e-31	1.07984855465597e-29	29605	168	296	1.94051668384473	4.89386009306136e-23	1.88973754195924e-21
GO:0051253	negative regulation of RNA metabolic process	0.0262402897670403	935	1.49057638428188	1.83090879067135e-31	1.08667827298179e-29	48253	284	488	1.98974915240441	1.12038429765478e-40	1.19694389132785e-37
GO:0051246	regulation of protein metabolic process	0.019123726974063	722	1.57934101790918	4.70730999444875e-31	2.74307791494695e-29	33473	211	419	1.72174266970972	7.36024717161665e-20	1.74737719889121e-18
GO:0055086	nucleobase-containing small molecule metabolic process	0.0183161375979082	697	1.59187928966496	6.28215453698045e-31	3.59541165911113e-29	35518	243	436	1.90554669118042	5.42100165248204e-31	6.2051108200732e-29
GO:0048706	embryonic skeletal system development	0.0154637032270788	609	1.64746060500396	9.63238949457636e-31	5.38496089381026e-29	53156	139	223	2.13112904228346	1.16921570829466e-24	5.51078874277115e-23
GO:0090596	sensory organ morphogenesis	0.025008961845665	895	1.49705798936557	9.74501503404041e-31	5.38496089381026e-29	45109	219	367	2.0402240416756	6.55251854710938e-34	1.10530641807819e-31
GO:0002521	leukocyte differentiation	0.00725309654291664	344	1.98402087056663	1.28436579502957e-30	6.97693622554198e-29	33206	83	145	1.95708595602206	2.00830840704036e-12	2.09662164318057e-11
