id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper
GO:0031033	myosin filament organization	0.00514090775445761	227	1.84604816168388	2.52517316104702e-17	7.91136751356032e-14	102194	8	8	1.15026549893111	0.326216306594449	0.999999999744023
GO:0030239	myofibril assembly	0.0152652416798573	481	1.31734149865371	3.07580565466229e-09	4.81824955802848e-06	72042	71	80	1.02086063030136	0.390345992440954	0.999999999744023
GO:0010927	cellular component assembly involved in morphogenesis	0.0160421776762807	493	1.28481494111166	3.86896305994821e-08	2.64354295474834e-05	71159	79	90	1.0096774935062	0.483216882790066	0.999999999744023
GO:0032989	cellular anatomical entity morphogenesis	0.0160421776762807	493	1.28481494111166	3.86896305994821e-08	2.64354295474834e-05	71159	79	90	1.0096774935062	0.483216882790066	0.999999999744023
GO:0031032	actomyosin structure organization	0.0201258241603332	602	1.25054636596375	4.83485543698396e-08	2.64354295474834e-05	65737	100	115	1.00023086863575	0.565762142425134	0.999999999744023
GO:0140694	membraneless organelle assembly	0.0236286817865097	695	1.2297088318936	5.06264210931696e-08	2.64354295474834e-05	58204	144	163	1.01618547144834	0.346386888255884	0.999999999744023
GO:0014866	skeletal myofibril assembly	0.00419803208435535	158	1.57350567904758	6.33364419115506e-08	2.8347581786984e-05	76742	15	15	1.15026549893111	0.122353819571735	0.999999999744023
GO:0045214	sarcomere organization	0.00756394920312708	254	1.40391913763264	1.54385275401063e-07	6.04611334789412e-05	84440	34	37	1.0570007287475	0.269701189058488	0.999999999744023
GO:0021510	spinal cord development	0.00713460043579303	228	1.33604834120282	1.54382110504035e-05	0.0053742128023238	47075	56	63	1.0224582212721	0.409263235749687	0.999999999744023
GO:0007519	skeletal muscle tissue development	0.0196614347337514	560	1.19077525784232	2.63978319911522e-05	0.008270440762828	66049	91	97	1.07911505569826	0.0233882297042858	0.999999999744023
GO:0060538	skeletal muscle organ development	0.0206582810744191	585	1.18390993537212	3.15005535089779e-05	0.00897193037669344	64675	101	108	1.07571125363002	0.0220493163980927	0.999999999744023
GO:0007059	chromosome segregation	0.0117684255466544	349	1.23983543367109	5.14739136327562e-05	0.0125702924046286	26743	98	108	1.04375943421526	0.14957580666815	0.999999999744023
GO:0000070	mitotic sister chromatid segregation	0.00437524921158517	147	1.40466098766851	5.21588896457617e-05	0.0125702924046286	24163	40	44	1.04569590811919	0.302075362855309	0.999999999744023
GO:0051276	chromosome organization	0.0141616622966534	412	1.21629791807554	5.63776434674447e-05	0.0126165112131075	27460	123	137	1.03272011947829	0.195614626332354	0.999999999744023
GO:0055002	striated muscle cell development	0.0234446176339097	653	1.164466525071	6.44246299803941e-05	0.0134561577152383	62895	126	141	1.02789682883205	0.236251059970694	0.999999999744023
GO:0055001	muscle cell development	0.0252610931880153	698	1.15520819963442	8.51464205533604e-05	0.0166727334746049	60608	144	164	1.00998921857366	0.425453606088013	0.999999999744023
GO:0021515	cell differentiation in spinal cord	0.00508009005852193	165	1.35790539562739	9.83819573176446e-05	0.0171168969240746	35178	44	48	1.05441004068685	0.230830460155287	0.999999999744023
GO:0021953	central nervous system neuron differentiation	0.0138136723013658	400	1.21061994149489	0.00010161257756501	0.0171168969240746	49161	95	106	1.03089832451373	0.254892172743103	0.999999999744023
GO:0045597	positive regulation of cell differentiation	0.0163365997672011	466	1.19256271875619	0.000103804992517529	0.0171168969240746	56450	118	130	1.04408714518362	0.117737258637641	0.999999999744023
GO:0051146	striated muscle cell differentiation	0.0271404002690478	742	1.14299580926839	0.000159051654580136	0.0249154416899784	63184	152	169	1.03455831856526	0.145829706967325	0.999999999744023
GO:0000819	sister chromatid segregation	0.0051042560304169	164	1.34328566043673	0.000168140515230138	0.0250849635340963	25923	46	50	1.05824425901662	0.200362199588922	0.999999999744023
GO:0042692	muscle cell differentiation	0.031505983091875	852	1.13058583611487	0.000187040017027015	0.026636198788438	61600	187	210	1.02428403952437	0.211227839239067	0.999999999744023
GO:0001501	skeletal system development	0.0394082559015317	1050	1.11393298874031	0.000236248887657579	0.0321812071752693	50641	264	294	1.03289146842793	0.080420434268319	0.999999999744023
GO:0043467	regulation of generation of precursor metabolites and energy	0.00177257403849639	67	1.58025582421108	0.000289018930090926	0.0377290128322862	37660	18	19	1.08972520951368	0.269522863817668	0.999999999744023
GO:0007088	regulation of mitotic nuclear division	0.00208552337453632	76	1.52354579091456	0.000343648582600816	0.0423410221038597	21394	17	19	1.02918492009625	0.539751163459617	0.999999999744023
GO:0051094	positive regulation of developmental process	0.0228892030465235	628	1.1470595187316	0.000351377776795516	0.0423410221038597	51798	176	198	1.0224582212721	0.241536187199816	0.999999999744023
GO:0048738	cardiac muscle tissue development	0.0152350342149885	430	1.1799999879305	0.000403172620321974	0.0458724621391901	80681	80	90	1.0224582212721	0.359105912237256	0.999999999744023
GO:0033047	regulation of mitotic sister chromatid segregation	0.00117728559748352	48	1.70457607116457	0.000409967743344182	0.0458724621391901	20781	10	11	1.04569590811919	0.568743715555688	0.999999999744023
GO:0008015	blood circulation	0.0250681681790537	682	1.13741448887424	0.000446180235319198	0.0482028509398292	56587	157	182	0.992261996330681	0.656872344683135	0.999999999744023
GO:0060491	regulation of cell projection assembly	0.00406954966711374	132	1.35607765281459	0.000469509523480329	0.0490324445687957	35761	38	41	1.06609973071664	0.198537115212966	0.999999999744023
GO:0031344	regulation of cell projection organization	0.0180769525098376	502	1.16100871902946	0.000519652200309928	0.0520990718456345	68962	136	154	1.01581888217293	0.358154375278807	0.999999999744023
GO:0098813	nuclear chromosome segregation	0.00627066694054768	192	1.28010170364546	0.000532132237172136	0.0520990718456345	25925	59	66	1.02826764298387	0.355068475306572	0.999999999744023
GO:2001251	negative regulation of chromosome organization	0.00110438491560034	45	1.70352702954528	0.00061278070880777	0.0533785963001561	21674	10	11	1.04569590811919	0.568743715555688	0.999999999744023
