id	cluster
GO:0090407	1
GO:0043632	1
GO:0019941	1
GO:0006511	1
GO:0006325	2
GO:0010498	1
GO:0008654	1
GO:0006886	3
GO:0046474	1
GO:0008610	1
GO:0032446	1
GO:0007517	4
GO:0098657	3
GO:0045017	1
GO:0051651	3
GO:0006650	1
GO:0051235	3
GO:0016567	1
GO:0046854	1
GO:0014706	4
GO:0060537	4
GO:0006897	3
GO:0051208	3
GO:0051282	3
GO:0051283	3
GO:0006661	1
GO:0006974	5
GO:0006914	1
GO:0061919	6
GO:0046486	1
GO:0060538	4
GO:0048878	7
GO:0051209	3
GO:0006412	1
GO:0007519	4
GO:0006644	1
GO:0061061	4
GO:0007015	2
GO:0006941	4
GO:0006260	1
GO:0043161	1
GO:0019725	7
GO:0006281	1
GO:0007224	5
GO:0046488	1
GO:0032787	1
GO:0016579	1
GO:0042541	1
GO:0009117	1
GO:0097553	3
GO:0020027	1
GO:0007610	4
GO:0098771	7
GO:0006896	3
GO:0048741	4
GO:0006338	2
GO:0016236	1
GO:0009799	4
GO:0009855	4
GO:0061024	2
GO:0014904	4
GO:0060972	4
GO:0007368	4
GO:0072521	1
GO:0010629	1
GO:0015816	3
GO:0030537	4
GO:0009165	1
GO:0070646	1
GO:0050801	7
GO:1901698	5
GO:0006163	1
GO:0072522	1
GO:0006898	3
GO:0016071	1
GO:0007219	5
GO:0006164	1
GO:0014902	4
GO:0044283	1
GO:0070588	3
GO:0006913	3
GO:0051169	3
GO:0006873	7
GO:0030003	7
GO:0010256	2
GO:0055082	7
GO:0006261	1
GO:0055080	7
GO:0033365	3
GO:0030490	1
GO:0036503	1
GO:0055002	4
GO:0034504	3
GO:0006753	1
GO:0016072	1
GO:0007626	4
GO:0003401	4
GO:0006413	1
GO:0006364	1
GO:0042274	2
GO:0030099	4
GO:0048589	4
GO:0055086	1
GO:0007018	8
GO:0051668	3
GO:0051146	4
GO:0031122	2
GO:0006066	1
GO:0050905	4
GO:0046165	1
GO:0060560	4
GO:0016050	2
GO:0006417	1
GO:0009150	1
GO:0006816	3
GO:0006874	7
GO:1901293	1
GO:0019216	1
GO:0040007	9
GO:0090150	3
GO:0051246	1
GO:0055001	4
GO:0015711	3
GO:0120031	2
GO:0034976	5
GO:0010608	1
GO:0006979	5
GO:1901136	1
GO:0055117	4
GO:0034655	1
GO:0016054	1
GO:0046395	1
GO:0030705	3
GO:0042692	4
GO:0055074	7
GO:0072594	3
GO:0030031	2
GO:0000209	1
GO:0016197	3
GO:0010876	3
GO:1903573	5
GO:0009259	1
GO:0080134	5
GO:0010506	1
GO:0022613	2
GO:0035330	5
GO:0000226	2
GO:0009314	5
GO:0045834	1
GO:0003012	4
GO:0009894	1
GO:0030048	10
GO:0042254	2
GO:0019693	1
GO:0048193	3
GO:0007586	4
GO:0006936	4
GO:0006605	3
GO:0051049	3
GO:0046496	1
GO:0046942	3
GO:0060271	2
GO:0007033	2
GO:0044782	2
GO:0015804	3
GO:0006397	1
GO:0055123	4
GO:0070328	7
GO:0009416	5
GO:0010564	11
GO:0006869	3
GO:0015695	3
GO:0009152	1
GO:0044770	11
GO:0015849	3
GO:0060028	4
GO:0097352	1
GO:0048871	4
GO:0072524	1
GO:0006606	3
GO:0051170	3
GO:0022600	4
GO:0044282	1
GO:0007623	12
GO:0007213	5
GO:0009141	1
GO:0046890	1
GO:0031669	5
GO:0035329	5
GO:0006997	2
GO:0043473	13
GO:0006090	1
GO:0048259	3
GO:1904888	4
GO:0051604	1
GO:1901987	11
GO:0003333	3
GO:0032922	1
GO:0019722	5
GO:0006612	3
GO:0032386	3
GO:0007005	2
GO:0017148	1
GO:0009185	1
GO:0006270	1
GO:0000184	1
GO:0007264	5
GO:0009126	1
GO:0009167	1
GO:0006520	1
GO:0002831	5
GO:0006942	4
GO:0009123	1
GO:1905039	3
GO:0042752	12
GO:0008088	3
GO:0009132	1
GO:0046434	1
GO:0051205	3
GO:0046031	1
GO:0009260	1
GO:0046390	1
GO:0009648	5
GO:0006399	1
GO:0030318	4
GO:0009135	1
GO:0009179	1
GO:0006401	1
GO:0010882	4
GO:0008593	5
GO:0048872	4
GO:0036092	1
GO:1901875	1
GO:1903322	1
GO:0031623	3
GO:0044057	4
GO:0003007	4
GO:0048066	13
GO:0008380	1
GO:0043153	5
GO:0045010	2
GO:0009124	1
GO:0035265	4
GO:0055088	7
GO:1903047	11
GO:0046470	1
GO:0051493	2
GO:0044772	11
GO:0070121	4
GO:0045229	2
GO:0141188	1
GO:0009166	1
GO:0034101	4
GO:0006865	3
GO:0000462	1
GO:0000377	1
GO:0000398	1
GO:0000375	1
GO:0007034	3
GO:0030198	2
GO:0006631	1
GO:0030100	3
GO:0010970	3
GO:0032836	4
GO:0043062	2
GO:0009062	1
GO:0031647	14
GO:0006613	3
GO:0045005	1
GO:0032259	1
GO:0044093	15
GO:0015918	3
GO:0009649	5
GO:0030218	4
GO:0016055	5
GO:0048732	4
GO:1903825	3
GO:0009127	1
GO:0009168	1
GO:0060419	4
GO:0007029	2
GO:0072006	4
GO:0050931	4
GO:0098930	3
GO:0032350	14
GO:0000045	1
GO:0051259	2
GO:1905897	5
GO:0022411	2
GO:0009191	1
GO:0006044	1
GO:0099111	3
GO:0006096	1
GO:0046032	1
GO:0048565	4
GO:1905037	1
GO:0006402	1
GO:0008016	4
GO:0030970	3
GO:1903513	3
GO:0045048	3
GO:1901990	11
GO:0032367	3
GO:0095500	5
GO:1905144	5
GO:1905145	5
GO:0009628	5
GO:0009137	1
GO:0009181	1
GO:0010458	11
GO:0022414	16
GO:0042594	5
GO:0051726	11
GO:0032835	4
GO:0034198	5
GO:0140694	2
GO:0048562	4
GO:1901605	1
GO:0006310	1
GO:0019364	1
GO:0072526	1
GO:0000278	11
GO:0061371	4
GO:1905952	3
GO:0051650	3
GO:1901071	1
GO:0022011	4
GO:0009267	5
GO:1903522	4
GO:0051321	11
GO:0031347	5
GO:0055017	4
GO:0061053	4
GO:0030903	4
GO:0009144	1
GO:0098926	5
GO:0170033	1
GO:0090257	4
GO:0006892	3
GO:0060341	3
GO:1901292	1
GO:1902532	5
GO:0032527	3
GO:1901699	5
GO:0032366	3
GO:0007530	4
GO:0022618	2
GO:0042060	5
GO:0008202	1
GO:0072329	1
GO:0043603	1
GO:0048706	4
GO:0009205	1
GO:0050435	6
GO:0009896	1
GO:0090329	1
GO:0016241	1
GO:0048738	4
GO:0010948	11
GO:0071391	5
GO:0006790	1
GO:0009134	1
GO:0032956	2
GO:0006457	1
GO:0031667	5
GO:0006188	1
GO:0043085	15
GO:0006888	3
GO:0061025	2
GO:0032970	17
GO:0009952	4
GO:0002262	4
GO:0031032	2
GO:0051262	2
GO:0048705	4
GO:0016042	1
GO:0018205	1
GO:0007041	3
GO:0046394	1
GO:0032984	2
GO:0032456	3
GO:0000956	1
GO:0046040	1
GO:0031644	4
GO:0016053	1
GO:0006275	1
GO:0033273	5
GO:0071826	2
GO:0015850	3
GO:0045944	1
GO:0006040	1
GO:1901988	11
GO:0098876	3
GO:0001889	4
GO:0051648	3
GO:0170039	1
GO:0016482	3
GO:0043038	1
GO:0009437	18
GO:1903311	1
GO:0060627	3
GO:0006418	1
GO:0051056	5
GO:0009156	1
GO:0048285	2
GO:0032475	4
GO:0046033	1
GO:0008033	1
GO:0034764	3
GO:0051301	6
GO:0002574	4
GO:1901700	5
GO:0006515	1
GO:0010927	4
GO:0032989	2
GO:0003015	4
GO:0008333	3
GO:0048499	2
GO:0006814	3
GO:0060047	4
GO:0043254	2
GO:0007622	4
GO:0048512	4
GO:0080135	5
GO:0019674	1
GO:0035278	1
GO:0031054	1
GO:0006446	1
GO:0032474	4
GO:0046034	1
GO:0070918	1
GO:0032465	11
GO:0055003	4
GO:0006400	1
GO:0043039	1
GO:0009394	1
GO:0003143	4
GO:0019395	1
GO:0031033	2
GO:0006081	1
GO:0006577	18
GO:0060070	5
GO:0035966	5
GO:0010508	1
GO:0051656	3
GO:0035196	1
GO:0048546	4
GO:0007187	5
GO:0051052	1
GO:0006906	3
GO:0022037	4
GO:0090382	2
GO:0000422	1
GO:0009895	1
GO:0014044	4
GO:0043627	5
GO:0006006	1
GO:0007422	4
GO:0014037	4
GO:0031017	4
GO:0035272	4
GO:0044843	11
GO:0051865	1
GO:0140719	1
GO:0006903	3
GO:0090174	2
GO:0021680	4
GO:0001757	4
GO:0031098	5
GO:0051403	5
GO:0007602	5
GO:0019228	4
GO:0034440	1
GO:0051640	3
GO:0060349	4
GO:0009261	1
GO:0007095	11
GO:0051248	1
GO:0021692	4
GO:0098739	3
GO:0006302	1
GO:0048840	4
GO:0045454	7
GO:1902903	2
GO:0007379	4
GO:0006635	1
GO:0070252	10
GO:0030239	4
GO:1901701	5
GO:0032292	4
GO:1990928	5
GO:0009262	1
GO:0006656	1
GO:0045786	11
GO:0031929	5
GO:0021915	4
GO:0061008	4
GO:0009154	1
GO:0060415	4
GO:0009190	1
GO:0016203	4
GO:0032786	1
GO:0051258	2
GO:0048284	2
GO:0051129	2
GO:0035825	1
GO:0018193	1
GO:0016052	1
GO:0006195	1
GO:0030518	5
GO:0048644	4
GO:0019953	16
GO:0009583	5
GO:0070201	3
GO:0051260	2
GO:0043401	5
GO:0006356	1
GO:0031399	1
GO:0042552	4
GO:0021549	4
GO:0045879	5
GO:0005975	1
GO:0007131	1
GO:0140527	1
GO:0050817	4
GO:0007596	4
GO:0007599	14
GO:0006891	3
GO:0006575	1
GO:0065009	15
GO:0048892	4
GO:0044804	1
GO:0009081	1
GO:0022604	4
GO:0048704	4
GO:0051253	1
GO:0072001	4
GO:0034762	3
GO:0007369	4
GO:0045453	4
GO:0051054	1
GO:0042180	1
GO:0015931	3
GO:0032535	2
GO:0031109	2
GO:0030500	4
GO:0070167	4
GO:0106380	1
GO:0042440	1
GO:0032365	3
GO:0000082	11
GO:0015718	3
GO:0006513	1
GO:0021538	4
GO:0003382	4
GO:0060026	4
GO:0030855	4
GO:0001503	4
GO:0001822	4
GO:0003094	4
GO:0006360	1
GO:0072089	19
GO:0071478	5
GO:0035050	4
GO:0007051	11
GO:0015909	3
GO:0021532	4
GO:0072523	1
GO:0051276	2
GO:0033143	5
GO:0006611	3
GO:0051131	2
GO:0034314	2
GO:0031507	1
GO:0048015	5
GO:0015740	3
GO:0033993	5
GO:0021536	4
GO:0043363	4
GO:0032261	1
GO:0051050	3
GO:0007168	5
GO:0031297	1
GO:0006403	3
GO:0009611	5
GO:0009409	5
GO:0007032	2
GO:0006346	2
GO:0032101	5
GO:0003006	4
GO:0060562	4
GO:0038202	5
GO:0006367	1
GO:0000724	1
GO:0042255	2
GO:0001946	4
GO:0045103	6
GO:0045104	2
GO:0021986	4
GO:0072330	1
GO:0032006	5
GO:0008286	5
GO:0000725	1
GO:0071383	5
GO:0008277	5
GO:0007272	4
GO:0008366	4
GO:0002218	5
GO:0045088	5
GO:0042471	4
GO:1990573	3
GO:0048895	4
GO:0048937	4
GO:0051247	1
GO:0015810	3
GO:0098659	3
GO:0099587	3
GO:0055008	4
GO:0007030	2
GO:0007600	4
GO:0030488	1
GO:0030258	1
GO:0001894	4
GO:0035967	5
GO:1903432	5
GO:0032355	5
GO:1901991	11
GO:1902115	2
GO:0014855	19
GO:1902806	11
GO:0042770	5
GO:0010996	5
GO:0000280	2
GO:0019226	4
GO:0031123	1
GO:0001756	4
GO:0051289	2
GO:0048570	4
GO:0051168	3
GO:0071482	5
GO:1903050	1
GO:0071599	4
GO:0007019	2
GO:0007266	5
GO:0007035	7
GO:0060038	4
GO:0031145	1
GO:0051051	3
GO:0048264	4
GO:0009725	5
GO:0008210	1
GO:0002521	4
GO:0009069	1
GO:0000266	2
GO:0006739	1
GO:0032886	20
GO:0061013	1
GO:0006909	3
GO:0060993	4
GO:0015908	3
GO:0033059	13
GO:0030282	4
GO:0039019	4
GO:0048511	12
GO:0032507	3
GO:0010507	1
GO:1902807	11
GO:2000134	11
GO:0035282	4
GO:0072384	3
GO:0048821	4
GO:0045814	1
GO:0003341	8
GO:0051241	4
GO:0001501	4
GO:0002221	5
GO:0002758	5
GO:0000288	1
GO:0000423	1
GO:0048701	4
GO:0051452	7
GO:0141091	5
GO:0043547	15
GO:0051345	15
GO:0042472	4
GO:0072530	3
GO:0099637	3
GO:0030217	4
GO:0046068	1
GO:0060249	4
GO:0045124	4
GO:0032869	5
GO:0061136	1
GO:0170035	1
GO:0032271	2
GO:0007632	4
GO:0045109	2
GO:0000028	2
GO:0060348	4
GO:1901606	1
GO:0045185	3
GO:0015748	3
GO:0071396	5
GO:0072073	4
GO:0001569	4
GO:0043173	1
GO:0032008	5
GO:0019318	1
GO:0030388	1
GO:0008360	4
GO:0033260	1
GO:1904262	5
GO:0030111	5
GO:0006783	1
GO:0140013	11
GO:0022616	1
GO:0110154	1
GO:0046903	3
GO:0044272	1
GO:0010883	21
GO:0050657	3
GO:0050658	3
GO:0051236	3
GO:0007052	11
GO:0006779	1
GO:0033014	1
GO:0099518	3
GO:0044087	2
GO:0055062	7
GO:0003013	4
GO:0001710	4
GO:0031110	2
GO:0043484	1
GO:0050684	1
GO:0014032	4
GO:0048864	4
GO:1903053	2
GO:0039021	4
GO:0000075	11
GO:0140352	3
GO:1901137	1
GO:0036303	4
GO:0060485	4
GO:0040029	1
GO:0061157	1
GO:0009451	1
GO:0008015	4
GO:0061014	1
GO:0000910	11
GO:0050779	1
GO:0003231	4
GO:0099003	3
GO:0099504	3
