id	cluster
GO:0030900	1
GO:0090596	1
GO:0021884	1
GO:0021879	1
GO:0048593	1
GO:0021536	1
GO:0048592	1
GO:0021872	1
GO:0048562	1
GO:0045944	2
GO:0021953	1
GO:0030855	1
GO:0021954	1
GO:0042472	1
GO:0042471	1
GO:0060041	1
GO:0048706	1
GO:0048839	1
GO:0043583	1
GO:0045892	2
GO:1902679	2
GO:0060042	1
GO:0048704	1
GO:0030902	1
GO:0051253	2
GO:0021538	1
GO:0072009	1
GO:0048705	1
GO:0035270	1
GO:0072073	1
GO:0031076	1
GO:0021510	1
GO:0048701	1
GO:0071599	1
GO:0061386	1
GO:0072006	1
GO:0030901	1
GO:1904888	1
GO:0001501	1
GO:0048596	1
GO:0035850	1
GO:0061005	1
GO:0003310	1
GO:0002072	1
GO:0021986	1
GO:0042490	1
GO:0000122	2
GO:0045743	3
GO:0008283	4
GO:0051090	2
GO:0009952	1
GO:0001822	1
GO:0072001	1
GO:0021537	1
GO:0021515	1
GO:0060059	1
GO:0060900	1
GO:0021592	1
GO:0071542	1
GO:0021761	1
GO:0048048	1
GO:0031016	1
GO:0040036	3
GO:0048703	1
GO:0060872	1
GO:0001755	1
GO:0039019	1
GO:0035118	1
GO:0035315	1
GO:0045165	1
GO:0032330	1
GO:0002064	1
GO:0090497	5
GO:0060993	1
GO:0071696	1
GO:0001708	1
GO:0014032	1
GO:0048864	1
GO:0002089	1
GO:0043049	1
GO:0009880	1
GO:0021854	1
GO:0035138	1
GO:0009913	1
GO:0071600	1
GO:0033339	1
GO:0033333	1
GO:0048732	1
GO:0030916	1
GO:0048736	1
GO:0035113	1
GO:0021903	1
GO:0014033	1
GO:0060173	1
GO:0060788	1
GO:0008543	3
GO:0008544	1
GO:0021532	1
GO:0072088	1
GO:0021522	1
GO:0044344	3
GO:0071774	3
GO:0048762	1
GO:0034109	6
GO:0071697	1
GO:0039020	1
GO:0016331	1
GO:0021772	1
GO:0021988	1
GO:0090287	3
GO:0072028	1
GO:0060485	1
GO:0072080	1
GO:0048886	1
GO:0030917	1
GO:0061326	1
GO:0048863	1
GO:0035883	1
GO:0014706	1
GO:0003309	1
GO:0060537	1
GO:0061061	1
GO:0035775	1
GO:0021782	1
GO:0048793	1
GO:0002262	1
GO:0008284	2
GO:0072175	1
GO:0060119	1
GO:0002011	1
GO:0035148	1
GO:0035107	1
GO:0021549	1
GO:0021575	1
GO:0001667	5
GO:0022037	1
GO:0061351	4
GO:0033334	1
GO:0072102	1
GO:0031018	1
GO:0060841	1
GO:0021983	1
GO:0007422	1
GO:0060113	1
GO:0048882	1
GO:0071363	3
GO:0060562	1
GO:0010001	1
GO:0070848	3
GO:0048840	1
GO:0048925	1
GO:0021517	1
GO:0042127	4
GO:0009799	1
GO:0009855	1
GO:0051091	2
GO:0032926	3
GO:0021915	1
GO:0046530	1
GO:0055007	1
GO:0072014	1
GO:0000289	2
GO:0048752	1
GO:0035051	1
GO:0042063	1
GO:0007517	1
GO:0060972	1
GO:0030878	1
GO:0048702	1
GO:0055123	1
GO:0001945	1
GO:0002065	1
GO:0021548	1
GO:0032474	1
GO:0048738	1
GO:0003158	1
GO:0021511	1
GO:0042670	1
GO:0060221	1
GO:0060324	1
GO:0060323	1
GO:0039021	1
GO:0072015	1
GO:0072310	1
GO:0042692	1
GO:0072114	1
GO:0060026	1
GO:0007368	1
GO:0003206	1
GO:0048884	1
GO:0044093	2
GO:0021587	1
GO:0048663	1
GO:0048384	3
GO:0061318	1
GO:0072010	1
GO:0072112	1
GO:0072311	1
GO:0003205	1
GO:0003159	1
GO:0061154	1
GO:0072554	1
GO:0060319	1
GO:0016055	3
GO:0001503	1
GO:0010171	1
GO:0048483	1
GO:0048484	1
GO:0009953	1
GO:0003007	1
GO:0043484	2
GO:0031017	1
GO:0035272	1
GO:0007519	1
GO:1901701	3
GO:0048665	1
GO:0048857	1
GO:0048634	1
GO:0032835	1
GO:0060538	1
GO:0048881	1
GO:0001754	1
GO:0035050	1
GO:1905330	1
GO:0003407	1
GO:1901700	3
GO:0061448	1
GO:0030851	1
GO:0060215	1
GO:0048915	1
GO:0030282	1
GO:0021602	1
GO:0051216	1
GO:0048916	1
GO:0060219	1
GO:0030510	3
GO:0110095	3
GO:0110096	3
GO:0051146	1
GO:0048871	1
GO:0030500	1
GO:0070167	1
GO:0048385	3
GO:0030278	1
GO:0008015	1
GO:0030111	3
GO:0010002	1
GO:0035282	1
GO:0070373	3
GO:0003013	1
GO:0043114	1
GO:0060047	1
GO:0097305	3
GO:0003015	1
GO:0072178	1
GO:0055013	1
GO:0030509	3
GO:0071772	3
GO:0071773	3
GO:0032870	3
GO:0048339	1
GO:0009725	3
GO:0031214	1
GO:0000288	2
GO:0042552	1
GO:0098900	7
GO:0035176	1
GO:0051703	8
GO:0060037	1
GO:0006397	2
GO:0016071	2
GO:0055006	1
GO:0050931	1
GO:1903313	2
GO:0008380	2
GO:0003313	1
GO:0048565	1
GO:2000026	1
GO:0061157	2
GO:0021545	1
GO:0050779	2
GO:1903522	1
GO:0055002	1
GO:0141193	3
GO:0001947	1
GO:0044057	1
GO:0090092	3
GO:0055012	1
GO:0021546	1
GO:0061014	2
GO:0001709	1
GO:0007498	1
GO:0055001	1
GO:0007169	3
GO:0048066	9
GO:0045597	1
GO:0035162	1
GO:0048008	3
GO:0061053	1
GO:0021675	1
GO:0042573	7
GO:0071816	10
GO:0060029	1
GO:0030856	1
GO:0021984	1
GO:0048645	1
GO:0003006	1
GO:0006974	3
GO:0007492	1
GO:0043409	3
GO:1902808	11
GO:0030150	10
GO:0003143	1
GO:0006086	2
GO:0001655	1
