seqnames	start	end	width	strand	phastcons	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	gene_name	mean_tpm	z_fpkm	is_active
NC_133176.1	388024	388123	100	*	17	Promoter (<=1kb)	2	387819	393105	5287	1	f7	NM_131819.2	205	gene-f7	2.162044	-0.731769066795367	TRUE
NC_133176.1	2313847	2313954	108	*	25	Promoter (2-3kb)	2	2302502	2316435	13934	2	LOC100333907	XR_012405145.1	2481	gene-LOC100333907	0.1730215	-2.23774517972251	TRUE
NC_133176.1	14663263	14663347	85	*	15	Promoter (2-3kb)	2	14656193	14666177	9985	2	pcdh18a	XM_005159845.5	2830	gene-pcdh18a	9.4330445	0.108571874848735	TRUE
NC_133176.1	19189316	19189401	86	*	17	Intron (XM_005168366.5/si:ch211-197n1.2, intron 12 of 17)	2	19160886	19218161	57276	2	si:ch211-197n1.2	XM_005168366.5	28760	gene-si:ch211-197n1.2	0.8042815	-1.37920320372771	TRUE
NC_133176.1	21290786	21290839	54	*	14	5' UTR	2	21267494	21305823	38330	1	fnip2	XM_009307363.5	23292	gene-fnip2	4.643094	-0.324691533446406	TRUE
NC_133176.1	21574858	21574924	67	*	15	Promoter (<=1kb)	2	21574145	21621534	47390	1	prss12	XR_012406014.1	713	gene-prss12	1.5571415	-0.968191570401257	TRUE
NC_133176.1	24848804	24848861	58	*	14	Promoter (<=1kb)	2	24844752	24849051	4300	2	rpl9	NM_001003861.1	190	gene-rpl9	3335.3686545	3.73955960294624	TRUE
NC_133176.1	25723845	25723962	118	*	16	Intron (XM_002660442.8/lrba, intron 36 of 55)	2	25537692	25968855	431164	2	lrba	XM_002660442.8	244893	gene-lrba	5.0048595	-0.293614433519114	TRUE
NC_133176.1	26609320	26609382	63	*	16	Promoter (<=1kb)	2	26477781	26609705	131925	2	fbxw7	XM_021473910.2	323	gene-fbxw7	17.628589	0.511662894112003	TRUE
NC_133176.1	28302697	28302766	70	*	23	Promoter (<=1kb)	2	28298426	28302922	4497	2	anp32b	NM_212603.2	156	gene-anp32b	435.708641	2.51045022513008	TRUE
NC_133176.1	32677892	32678020	129	*	30	Promoter (<=1kb)	2	32677134	32680797	3664	1	cryaa	XM_073947072.1	758	gene-cryaa	0.325232	-1.95034445390563	TRUE
NC_133176.1	33954843	33955003	161	*	26	Promoter (<=1kb)	2	33932194	33955297	23104	2	si:dkey-22o12.2	NM_001126467.1	294	gene-si:dkey-22o12.2	4.973514	-0.285786043768667	TRUE
NC_133176.1	37859311	37859363	53	*	16	Promoter (<=1kb)	2	37859094	37860570	1477	1	kctd12.2	NM_001034019.2	217	gene-kctd12.2	13.7113345	0.369474755789829	TRUE
NC_133176.1	38785374	38785534	161	*	16	Promoter (<=1kb)	2	38749171	38785750	36580	2	frem3	NM_001137659.1	216	gene-frem3	8.431876	0.0113319882336176	TRUE
NC_133176.1	39571887	39571972	86	*	35	Promoter (<=1kb)	2	39572356	39574153	1798	1	pou4f2	NM_212807.1	-384	gene-pou4f2	0.673698	-1.68389383896364	TRUE
NC_133176.1	39628727	39628826	100	*	28	Distal Intergenic	2	39661768	39664833	3066	1	LOC141383310	XR_012404326.1	-32942	gene-LOC141383310	0.1783645	-2.39400360436608	TRUE
NC_133176.1	40085469	40085608	140	*	35	Intron (NM_001100403.1/nr3c2, intron 3 of 8)	2	40048212	40205499	157288	2	nr3c2	NM_001100403.1	119891	gene-nr3c2	0.4498865	-1.73115022687525	TRUE
NC_133176.1	44845619	44845671	53	*	17	Promoter (<=1kb)	2	44845053	44852881	7829	1	mogs	XM_005160076.5	566	gene-mogs	15.1793905	0.402596189458612	TRUE
NC_133176.1	46942751	46942802	52	*	15	Promoter (<=1kb)	2	46910384	46942792	32409	2	suclg1	XR_012398607.1	0	gene-suclg1	170.6427315	1.89515296554788	TRUE
NC_133176.1	48913823	48913904	82	*	25	Promoter (2-3kb)	2	48899075	48916388	17314	2	septin3	XM_068219463.2	2484	gene-septin3	10.8382445	0.220909155771788	TRUE
NC_133176.1	48946725	48946801	77	*	19	Promoter (<=1kb)	2	48946180	48951874	5695	1	trappc5	XM_005160036.5	545	gene-trappc5	26.0540905	0.773891715901656	TRUE
NC_133176.1	53213843	53213872	30	*	14	Intron (XM_068222873.2/lef1, intron 9 of 9)	2	53128721	53218083	89363	1	lef1	XM_068222873.2	85122	gene-lef1	8.9468785	0.084984998613091	TRUE
