seqnames	start	end	width	strand	phastcons	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	gene_name	mean_tpm	z_fpkm	is_active
NC_133176.1	38945259	38945322	64	*	15	Intron (XM_073915570.1/hhip, intron 6 of 17)	2	38754200	38990496	236297	1	hhip	XM_073915570.1	191059	gene-hhip	16.5660345	0.463915051471953	TRUE
NC_133176.1	53213842	53213872	31	*	14	Intron (XM_068222873.2/lef1, intron 9 of 9)	2	53128721	53218083	89363	1	lef1	XM_068222873.2	85121	gene-lef1	8.9468785	0.084984998613091	TRUE
NC_133178.1	23797457	23797553	97	*	19	Promoter (1-2kb)	4	23740373	23799360	58988	2	ep300b	XM_009299407.5	1807	gene-ep300b	17.2107035	0.484072204662553	TRUE
NC_133182.1	34362661	34362861	201	*	27	Promoter (<=1kb)	8	34362034	34363588	1555	1	fibinb	NM_001017873.2	627	gene-fibinb	15.7909695	0.447405197533329	TRUE
NC_133182.1	37505537	37505570	34	*	14	Intron (XM_073906586.1/sall1a, intron 3 of 6)	8	37187971	37599395	411425	1	sall1a	XM_073906586.1	317566	gene-sall1a	10.609694	0.189696435707009	TRUE
NC_133182.1	37549466	37549518	53	*	16	Intron (XM_073906586.1/sall1a, intron 3 of 6)	8	37187971	37599395	411425	1	sall1a	XM_073906586.1	361495	gene-sall1a	10.609694	0.189696435707009	TRUE
NC_133183.1	34708013	34708090	78	*	16	Promoter (<=1kb)	9	34707607	34880348	172742	1	hmcn2	XM_001920466.9	406	gene-hmcn2	4.6446275	-0.339759746404997	TRUE
NC_133183.1	61058423	61058550	128	*	22	Intron (XM_017357365.4/bmp1a, intron 4 of 19)	9	60979434	61109263	129830	2	bmp1a	XM_017357365.4	50713	gene-bmp1a	11.931009	0.273237639179711	TRUE
NC_133190.1	50381764	50381897	134	*	18	Intron (NM_130973.3/chrd, intron 18 of 19)	16	50377551	50411485	33935	2	chrd	NM_130973.3	29588	gene-chrd	1.4110795	-1.09830156009335	TRUE
NC_133194.1	2791138	2791224	87	*	16	Promoter (1-2kb)	20	2789169	2792281	3113	2	sp8a	NM_213241.2	1057	gene-sp8a	30.166457	0.836956356291028	TRUE
NC_133198.1	42229863	42229958	96	*	20	Promoter (<=1kb)	24	42229087	42237549	8463	1	sall4	XR_225243.6	776	gene-sall4	28.1592055	0.79821489749139	TRUE
NC_133200.1	19657475	19657561	87	*	15	Intron (XM_005162994.6/met, intron 14 of 20)	26	19580611	19678793	98183	1	met	XM_005162994.6	76864	gene-met	3.047348	-0.618578214012602	TRUE
