seqnames	start	end	width	strand	phastcons	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	gene_name	mean_tpm	z_fpkm	is_active
NC_133176.1	199970	200098	129	*	35	Promoter (2-3kb)	2	197057	202293	5237	2	rpl24	NM_173235.3	2195	gene-rpl24	3195.627212	3.71107960050952	TRUE
NC_133176.1	222163	222229	67	*	17	Intron (NM_001017766.2/eed, intron 7 of 11)	2	217751	224411	6661	1	eed	NM_001017766.2	4412	gene-eed	45.2299265	1.10895405283041	TRUE
NC_133176.1	316730	316771	42	*	16	Promoter (2-3kb)	2	313743	320662	6920	1	dusp27	NM_001386660.1	2987	gene-dusp27	8.230752	0.0583234633939158	TRUE
NC_133176.1	388023	388123	101	*	17	Promoter (<=1kb)	2	387819	393105	5287	1	f7	NM_131819.2	204	gene-f7	2.162044	-0.731769066795367	TRUE
NC_133176.1	481593	481660	68	*	16	Intron (XR_012404788.1/LOC141383747, intron 1 of 2)	2	477519	484668	7150	1	LOC141383747	XR_012404788.1	4074	gene-LOC141383747	0.4174565	-1.81013911492798	TRUE
NC_133176.1	524340	524502	163	*	23	Intron (XR_012402175.1/grk1a, intron 2 of 7)	2	515713	529658	13946	1	grk1a	XR_012402175.1	8627	gene-grk1a	0.1361045	-2.43829327312449	TRUE
NC_133176.1	593897	594046	150	*	18	Intron (XM_073917704.1/gas6, intron 5 of 9)	2	587411	598953	11543	2	gas6	XM_073917704.1	4907	gene-gas6	17.0103905	0.472982837616793	TRUE
NC_133176.1	620330	620467	138	*	19	Intron (NM_001077323.1/pros1, intron 10 of 13)	2	617904	628646	10743	2	pros1	NM_001077323.1	8179	gene-pros1	7.972186	0.0485723299952883	TRUE
NC_133176.1	636370	636523	154	*	19	Intron (XM_009305228.4/rasa3, intron 21 of 24)	2	630298	685885	55588	2	rasa3	XM_009305228.4	49362	gene-rasa3	4.8418245	-0.304598818860067	TRUE
NC_133176.1	642589	642720	132	*	21	Intron (XM_009305228.4/rasa3, intron 13 of 24)	2	630298	685885	55588	2	rasa3	XM_009305228.4	43165	gene-rasa3	4.8418245	-0.304598818860067	TRUE
NC_133176.1	697437	697487	51	*	14	Intron (XM_002660321.8/tpp2, intron 6 of 27)	2	693652	719154	25503	1	tpp2	XM_002660321.8	3785	gene-tpp2	11.458266	0.258292067729018	TRUE
NC_133176.1	697830	697986	157	*	17	Intron (XM_002660321.8/tpp2, intron 6 of 27)	2	693652	719154	25503	1	tpp2	XM_002660321.8	4178	gene-tpp2	11.458266	0.258292067729018	TRUE
NC_133176.1	705156	705232	77	*	19	Intron (XM_002660321.8/tpp2, intron 15 of 27)	2	693652	719154	25503	1	tpp2	XM_002660321.8	11504	gene-tpp2	11.458266	0.258292067729018	TRUE
NC_133176.1	755080	755271	192	*	27	Intron (XM_003197605.7/ercc5, intron 12 of 16)	2	749355	769616	20262	2	ercc5	XM_003197605.7	14345	gene-ercc5	5.520707	-0.177270408587601	TRUE
NC_133176.1	957189	957384	196	*	25	Intron (XM_021475923.3/adamts1, intron 6 of 8)	2	953799	966292	12494	2	adamts1	XM_021475923.3	8908	gene-adamts1	3.331639	-0.519576912628367	TRUE
NC_133176.1	976398	977154	757	*	28	Intron (XM_073947774.1/adamts5, intron 8 of 9)	2	968736	1013664	44929	2	adamts5	XM_073947774.1	36510	gene-adamts5	0.677563	-1.47378049186448	TRUE
NC_133176.1	1322598	1322758	161	*	17	Intron (XM_073948923.1/gart, intron 16 of 21)	2	1314905	1349146	34242	2	gart	XM_073948923.1	26388	gene-gart	85.169859	1.48804563045479	TRUE
NC_133176.1	1341550	1341722	173	*	30	Intron (XM_073948923.1/gart, intron 3 of 21)	2	1314905	1349146	34242	2	gart	XM_073948923.1	7424	gene-gart	85.169859	1.48804563045479	TRUE
NC_133176.1	2001223	2001344	122	*	17	Intron (XM_689264.10/sonb, intron 11 of 12)	2	1974679	2002624	27946	1	sonb	XM_689264.10	26544	gene-sonb	8.3900825	0.0310115652839359	TRUE
NC_133176.1	2313846	2313954	109	*	25	Promoter (2-3kb)	2	2302502	2316435	13934	2	LOC100333907	XR_012405145.1	2481	gene-LOC100333907	0.1730215	-2.23774517972251	TRUE
NC_133176.1	2432483	2432603	121	*	17	Intron (XR_012402744.1/atp1a1a.4, intron 4 of 22)	2	2425871	2442276	16406	1	atp1a1a.4	XR_012402744.1	6612	gene-atp1a1a.4	38.8038825	0.994274659241649	TRUE
