seqnames	start	end	width	strand	phastcons	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	gene_name	mean_tpm	z_fpkm	is_active
NC_133176.1	53213843	53213872	30	*	14	Intron (XM_068222873.2/lef1, intron 9 of 9)	2	53128721	53218083	89363	1	lef1	XM_068222873.2	85122	gene-lef1	8.9468785	0.084984998613091	TRUE
NC_133178.1	26777649	26777769	121	*	17	Intron (XM_017354043.4/rbfox1, intron 7 of 13)	4	26727111	26818656	91546	2	rbfox1	XM_017354043.4	40887	gene-rbfox1	4.981273	-0.315925428957593	TRUE
NC_133178.1	26817350	26817437	88	*	15	Promoter (1-2kb)	4	26727111	26818656	91546	2	rbfox1	XM_017354043.4	1219	gene-rbfox1	4.981273	-0.315925428957593	TRUE
NC_133178.1	26825387	26825533	147	*	23	Intron (XM_017354049.4/rbfox1, intron 1 of 13)	4	26727111	26863346	136236	2	rbfox1	XM_017354049.4	37813	gene-rbfox1	4.981273	-0.315925428957593	TRUE
NC_133178.1	26984111	26984228	118	*	16	Intron (XM_017354045.4/rbfox1, intron 1 of 13)	4	26727111	26994855	267745	2	rbfox1	XM_017354045.4	10627	gene-rbfox1	4.981273	-0.315925428957593	TRUE
NC_133179.1	2851309	2851713	405	*	28	Distal Intergenic	5	2854002	2865576	11575	2	csrp2	NM_200897.2	13863	gene-csrp2	8.4643985	0.0389613490422052	TRUE
NC_133179.1	25542870	25542997	128	*	21	Distal Intergenic	5	25697545	25707569	10025	2	gata3	NM_131211.1	164572	gene-gata3	13.814054	0.398834158935302	TRUE
NC_133180.1	52249854	52249896	43	*	14	Intron (XM_009301757.5/mef2cb, intron 6 of 10)	6	52237261	52342395	105135	2	mef2cb	XM_009301757.5	92499	gene-mef2cb	11.431972	0.226299992737857	TRUE
NC_133182.1	12810745	12810803	59	*	14	Distal Intergenic	8	12801789	12802966	1178	1	gjd6	NM_001103197.1	8956	gene-gjd6	0.797772	-1.36869746299923	TRUE
NC_133182.1	27322110	27322166	57	*	18	Intron (NM_001123009.2/sox6, intron 4 of 17)	8	27275372	27476398	201027	1	sox6	NM_001123009.2	46738	gene-sox6	8.7247365	0.0642049347775021	TRUE
NC_133182.1	27338917	27339049	133	*	33	Intron (NM_001123009.2/sox6, intron 4 of 17)	8	27275372	27476398	201027	1	sox6	NM_001123009.2	63545	gene-sox6	8.7247365	0.0642049347775021	TRUE
NC_133182.1	27386835	27386908	74	*	16	Intron (NM_001123009.2/sox6, intron 7 of 17)	8	27275372	27476398	201027	1	sox6	NM_001123009.2	111463	gene-sox6	8.7247365	0.0642049347775021	TRUE
NC_133182.1	35776118	35776198	81	*	21	Distal Intergenic	8	35818027	35821520	3494	2	irx5a	NM_001045227.1	45322	gene-irx5a	26.091915	0.756221799739908	TRUE
NC_133182.1	37429899	37430018	120	*	18	Intron (XM_073906586.1/sall1a, intron 3 of 6)	8	37187971	37599395	411425	1	sall1a	XM_073906586.1	241928	gene-sall1a	10.609694	0.189696435707009	TRUE
NC_133182.1	37505538	37505570	33	*	14	Intron (XM_073906586.1/sall1a, intron 3 of 6)	8	37187971	37599395	411425	1	sall1a	XM_073906586.1	317567	gene-sall1a	10.609694	0.189696435707009	TRUE
NC_133182.1	37549467	37549518	52	*	16	Intron (XM_073906586.1/sall1a, intron 3 of 6)	8	37187971	37599395	411425	1	sall1a	XM_073906586.1	361496	gene-sall1a	10.609694	0.189696435707009	TRUE
NC_133182.1	37611427	37611503	77	*	16	Distal Intergenic	8	37589513	37599395	9883	1	sall1a	XM_073906582.1	21914	gene-sall1a	10.609694	0.189696435707009	TRUE
NC_133182.1	76137201	76137319	119	*	18	Distal Intergenic	8	76143244	76237156	93913	2	ppargc1a	XM_002667531.8	99837	gene-ppargc1a	2.422798	-0.764791957137624	TRUE
NC_133183.1	32080142	32080204	63	*	16	Intron (NM_001305542.1/ptch1, intron 8 of 23)	9	32043114	32148341	105228	1	ptch1	NM_001305542.1	37028	gene-ptch1	13.4635555	0.29876872466262	TRUE
