set	gene	domain_width	observed	expected	obs_exp	per_100kb	p_binom	fdr	ohnologue_stem	is_ohnologue
actinopterygii	pcdh10a	343479	0	0.4325030131170338	0	0	1	1	pcdh10	TRUE
actinopterygii	pcdh10b	190071	0	0.23933422481772604	0	0	1	1	pcdh10	TRUE
actinopterygii	pcdh11	414066	0	0.5213849831556447	0	0	1	1	NA	FALSE
actinopterygii	pcdh12	50874	0	0.06405969008095393	0	0	1	1	NA	FALSE
actinopterygii	pcdh15a	60309	0	0.07594008430813876	0	0	1	1	pcdh15	TRUE
actinopterygii	pcdh15b	410315	0	0.516661786680163	0	0	1	1	pcdh15	TRUE
actinopterygii	pcdh17	72854	1	0.09173653852965795	10.900781913378006	1.3726082301589482	0.08765561740209718	1	NA	FALSE
actinopterygii	pcdh18a	625463	1	0.7875725505583145	1.2697242930712789	0.15988155974054422	0.5450927301523999	1	pcdh18	TRUE
actinopterygii	pcdh18b	204737	0	0.25780140677171576	0	0	1	1	pcdh18	TRUE
actinopterygii	pcdh19	255207	1	0.32135238680838957	3.111848677807589	0.391838781851595	0.27484309364565374	1	NA	FALSE
actinopterygii	pcdh1a	256140	0	0.32252720480668984	0	0	1	1	pcdh1	TRUE
actinopterygii	pcdh1a3	11070	0	0.013939158886585683	0	0	1	1	NA	FALSE
actinopterygii	pcdh1a4	6000	0	0.007555099667526116	0	0	1	1	NA	FALSE
actinopterygii	pcdh1a6	71229	6	0.08969036570303628	66.89681721073508	8.423535357789664	6.667543115232423e-10	6.612069156513689e-6	NA	FALSE
actinopterygii	pcdh1b	435444	0	0.5483038032710403	0	0	1	1	pcdh1	TRUE
actinopterygii	pcdh1g1	71229	6	0.08969036570303628	66.89681721073508	8.423535357789664	6.667543115232423e-10	6.612069156513689e-6	NA	FALSE
actinopterygii	pcdh1g11	10610	0	0.013359934578742015	0	0	1	1	NA	FALSE
actinopterygii	pcdh1g18	46037	0	0.05796902056564997	0	0	1	1	NA	FALSE
actinopterygii	pcdh1g2	6000	0	0.007555099667526116	0	0	1	1	NA	FALSE
actinopterygii	pcdh1g26	46037	0	0.05796902056564997	0	0	1	1	NA	FALSE
actinopterygii	pcdh1g29	6000	0	0.007555099667526116	0	0	1	1	NA	FALSE
actinopterygii	pcdh1g3	11315	0	0.014247658789676333	0	0	1	1	NA	FALSE
actinopterygii	pcdh1g30	6000	0	0.007555099667526116	0	0	1	1	NA	FALSE
actinopterygii	pcdh1g31	6000	0	0.007555099667526116	0	0	1	1	NA	FALSE
actinopterygii	pcdh1g32	34679	0	0.04366721689502303	0	0	1	1	NA	FALSE
actinopterygii	pcdh1g9	14853	0	0.0187026492269609	0	0	1	1	NA	FALSE
actinopterygii	pcdh1gb2	19422	0	0.024455857623782037	0	0	1	1	NA	FALSE
actinopterygii	pcdh1gb9	22374	0	0.028172966660204884	0	0	1	1	NA	FALSE
actinopterygii	pcdh1gc5	6000	0	0.007555099667526116	0	0	1	1	NA	FALSE
actinopterygii	pcdh1gc6	6000	0	0.007555099667526116	0	0	1	1	NA	FALSE
actinopterygii	pcdh20	226124	0	0.28473155953661256	0	0	1	1	NA	FALSE
actinopterygii	pcdh20l	344099	0	0.43328370674934485	0	0	1	1	NA	FALSE
actinopterygii	pcdh2aa1	20778	3	0.026163310148642937	114.66439005446743	14.438348252959862	2.9244438971683633e-6	0.004406727786352216	NA	FALSE
actinopterygii	pcdh2aa15	6560	1	0.008260242303161885	121.06182401177462	15.243902439024389	0.008226229965737613	0.9936085787226299	NA	FALSE
actinopterygii	pcdh2aa3	6000	0	0.007555099667526116	0	0	1	1	NA	FALSE
actinopterygii	pcdh2ab10	6000	0	0.007555099667526116	0	0	1	1	NA	FALSE
actinopterygii	pcdh2ab12	26153	0	0.03293142026746842	0	0	1	1	NA	FALSE
actinopterygii	pcdh2ab2	6000	0	0.007555099667526116	0	0	1	1	NA	FALSE
actinopterygii	pcdh2ab3	6000	0	0.007555099667526116	0	0	1	1	NA	FALSE
actinopterygii	pcdh2ab5	6621	0	0.00833705248311507	0	0	1	1	NA	FALSE
actinopterygii	pcdh2ab7	6621	1	0.00833705248311507	119.94646813430619	15.103458692040476	0.008302405543572948	0.9936085787226299	NA	FALSE
actinopterygii	pcdh2ab9	6000	1	0.007555099667526116	132.36092758620688	16.666666666666668	0.007526639779443012	0.9389850967623983	NA	FALSE
actinopterygii	pcdh2ac	86175	1	0.10851011897484385	9.215730380240688	1.1604293588627792	0.10283170146778424	1	NA	FALSE
actinopterygii	pcdh2g1	66022	1	0.08313379837490154	12.028801998080056	1.5146466329405348	0.07977289982371312	1	NA	FALSE
actinopterygii	pcdh2g12	17814	3	0.022431090912885036	133.7429379449716	16.840687100033684	1.8481173982248745e-6	0.003272751895485078	NA	FALSE
actinopterygii	pcdh2g13	27866	0	0.03508840122254712	0	0	1	1	NA	FALSE
actinopterygii	pcdh2g16	27866	0	0.03508840122254712	0	0	1	1	NA	FALSE
actinopterygii	pcdh2g17	6000	0	0.007555099667526116	0	0	1	1	NA	FALSE
actinopterygii	pcdh2g2	12230	4	0.015399811488974065	259.7434392533905	32.70645952575634	2.310778993628237e-9	1.4322208202507814e-5	NA	FALSE
actinopterygii	pcdh2g28	6337	0	0.007979444432185498	0	0	1	1	NA	FALSE
actinopterygii	pcdh2g29	21031	2	0.026481883517956956	75.52332894462853	9.509771290000476	3.444200976662518e-4	0.11539004136948262	NA	FALSE
actinopterygii	pcdh2g3	12230	4	0.015399811488974065	259.7434392533905	32.70645952575634	2.310778993628237e-9	1.4322208202507814e-5	NA	FALSE
actinopterygii	pcdh2g5	6000	0	0.007555099667526116	0	0	1	1	NA	FALSE
actinopterygii	pcdh2g6	9228	0	0.011619743288655166	0	0	1	1	NA	FALSE
actinopterygii	pcdh2g7	13716	0	0.0172709578399647	0	0	1	1	NA	FALSE
actinopterygii	pcdh2g8	10488	0	0.013206314218835651	0	0	1	1	NA	FALSE
actinopterygii	pcdh2g9	17814	1	0.022431090912885036	44.580979314990536	5.613562366677894	0.022181455229000367	1	NA	FALSE
actinopterygii	pcdh7a	125951	0	0.15859539303743028	0	0	1	1	pcdh7	TRUE
actinopterygii	pcdh7b	328738	1	0.4139413924172	2.415800928147161	0.30419361315089827	0.3389765830847934	1	pcdh7	TRUE
actinopterygii	pcdh8	34985	0	0.04405252697806686	0	0	1	1	NA	FALSE
actinopterygii	pcdh9	74637	0	0.09398166231419111	0	0	1	1	NA	FALSE
actinopterygii	pcdha8l	6000	1	0.007555099667526116	132.36092758620688	16.666666666666668	0.007526639779443012	0.9389850967623983	NA	FALSE
actinopterygii	pcdhb	32051	1	0.04035808324064659	24.77818369215442	3.1200274562416146	0.03955476661759718	1	pcdh	TRUE
actinopterygii	ryr1a	133940	0	0.16865500824474133	0	0	1	1	ryr1	TRUE
actinopterygii	ryr1b	272781	0	0.34348127373457354	0	0	1	1	ryr1	TRUE
actinopterygii	ryr2a	194184	0	0.2445132456398152	0	0	1	1	ryr2	TRUE
