seqnames	start	end	width	strand	phastcons	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	flank_txIds	flank_geneIds	flank_gene_distances
NC_133194.1	103733	104050	318	*	23	Intron (XM_073931252.1/col14a1b, intron 30 of 46)	20	115120	119774	4655	1	zhx2b	XM_005169973.6	-11070	XM_073931252.1;XM_073931253.1;XM_073931254.1;XM_073931255.1;XM_073931249.1;XM_073931250.1;XM_073931251.1	col14a1b;col14a1b;col14a1b;col14a1b;col14a1b;col14a1b;col14a1b	0;0;0;0;0;0;0
NC_133194.1	428262	428387	126	*	19	Intron (XM_003200501.7/syngap1a, intron 9 of 20)	20	407771	444727	36957	1	syngap1a	XM_073931328.1	20491	XM_003200501.7;XM_005159316.6;XM_005159317.6;XM_073931327.1;XM_009293917.5;XM_005159318.6;XM_073931328.1	syngap1a;syngap1a;syngap1a;syngap1a;syngap1a;syngap1a;syngap1a	0;0;0;0;0;0;0
NC_133194.1	836211	836293	83	*	15	Promoter (2-3kb)	20	824516	838433	13918	2	slc6a19a.1	NM_001098178.1	2140	NM_001098178.1	slc6a19a.1	0
NC_133194.1	913822	913920	99	*	24	Distal Intergenic	20	932055	937400	5346	1	gstr	NM_001045060.2	-18135	XR_012394785.1;XR_012394786.1;XM_021468221.2;XM_021468222.2;XM_021468223.2;XM_021468224.2;XM_021468225.2;XM_073931295.1;XM_073931296.1;XM_073931297.1	LOC141378953;LOC141378953;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a	0;0;0;0;0;0;0;0;0;0
NC_133194.1	923122	923235	114	*	16	Intron (XM_021468221.2/fhod3a, intron 22 of 28)	20	932055	937400	5346	1	gstr	NM_001045060.2	-8820	XR_012394785.1;XR_012394786.1;XM_021468221.2;XM_021468222.2;XM_021468223.2;XM_021468224.2;XM_021468225.2;XM_073931295.1;XM_073931296.1;XM_073931297.1	LOC141378953;LOC141378953;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a	0;0;0;0;0;0;0;0;0;0
NC_133194.1	923361	923534	174	*	20	Intron (XM_021468221.2/fhod3a, intron 23 of 28)	20	932055	937400	5346	1	gstr	NM_001045060.2	-8521	XR_012394785.1;XR_012394786.1;XM_021468221.2;XM_021468222.2;XM_021468223.2;XM_021468224.2;XM_021468225.2;XM_073931295.1;XM_073931296.1;XM_073931297.1	LOC141378953;LOC141378953;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a	0;0;0;0;0;0;0;0;0;0
NC_133194.1	1026475	1026563	89	*	23	Promoter (2-3kb)	20	1022726	1028986	6261	2	eomesa	NM_131679.3	2423	XR_012394790.1;XR_012394791.1;NM_131679.3;XM_005159319.6;XM_073931105.1;XM_073931106.1	LOC141378956;LOC141378956;eomesa;eomesa;eomesa;eomesa	-3029;-3192;0;0;0;0
NC_133194.1	1253425	1253522	98	*	17	Intron (XM_073931005.1/ehmt2, intron 15 of 27)	20	1243166	1265689	22524	2	ehmt2	NM_001113615.1	12167	XM_073931005.1;XM_073931006.1;XM_073931007.1;XM_073931008.1;XM_073931009.1;XM_073931010.1;XM_073931011.1;XM_073931012.1;XM_073931013.1;XM_073931014.1;XM_073931015.1;XM_073931016.1;XM_073931017.1;XM_073931018.1;XM_073931019.1;NM_001113615.1	ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1	1918354	1918475	122	*	16	Distal Intergenic	20	1865127	1871154	6028	2	LOC141378958	XR_012394795.1	-47200	XM_073931342.1	slc45a4a	0
NC_133194.1	2875395	2875476	82	*	18	Intron (XM_073930619.1/sp4, intron 4 of 5)	20	2867687	2881117	13431	1	sp4	NM_200124.1	7708	XM_073930619.1;XM_073930620.1;NM_200124.1	sp4;sp4;sp4	0;0;0
NC_133194.1	3217656	3217739	84	*	16	Distal Intergenic	20	3205573	3235454	29882	2	recql4	XM_001920596.8	17715	XM_001920596.8	recql4	0
NC_133194.1	5960655	5960794	140	*	21	Intron (XM_005159352.5/chd4a, intron 21 of 40)	20	5933420	5992252	58833	2	chd4a	XM_005159352.5	31458	XM_005159352.5;XM_021468085.3;NM_001044858.1	chd4a;chd4a;chd4a	0;0;0
NC_133194.1	7025253	7025391	139	*	21	Promoter (<=1kb)	20	7001030	7025567	24538	2	gsk3aa	XM_073930929.1	176	XM_003200533.6;XM_009294004.4;NM_001044921.3;NM_001365534.1;XM_073930929.1;XM_073930930.1	cica;cica;gsk3aa;gsk3aa;gsk3aa;gsk3aa	51141;51141;0;0;0;0
NC_133194.1	7177759	7177836	78	*	14	Distal Intergenic	20	7083672	7135771	52100	2	erf	XM_005159364.5	-41988	XM_009294006.5;XM_021468267.3;XM_068215233.2;XM_073931453.1;XM_073931448.1;XM_073931449.1;XM_073931451.1;XM_073931452.1	pou2f2a;pou2f2a;pou2f2a;pou2f2a;pou2f2a;pou2f2a;pou2f2a;pou2f2a	0;0;0;0;0;0;0;0
NC_133194.1	7280702	7280832	131	*	22	Intron (NM_131684.2/atp1a3a, intron 16 of 20)	20	7158483	7262671	104189	2	pou2f2a	XM_073931452.1	-18031	NM_131684.2	atp1a3a	0
NC_133194.1	7305139	7305279	141	*	37	Intron (NM_131684.2/atp1a3a, intron 4 of 20)	20	7320638	7328190	7553	1	LOC141379001	XR_012394882.1	-15359	NM_131684.2	atp1a3a	0
NC_133194.1	8218419	8218587	169	*	17	Intron (XR_012394462.1/brd2a, intron 9 of 12)	20	8211598	8225545	13948	1	brd2a	XM_073930497.1	6821	XR_012394462.1;XM_068215022.2;XM_073930496.1;XR_012394461.1;XR_012394459.1;XR_012394460.1;NM_001270571.1;NM_131200.2;XM_073930495.1;XM_073930497.1	brd2a;brd2a;brd2a;brd2a;brd2a;brd2a;brd2a;brd2a;brd2a;brd2a	0;0;0;0;0;0;0;0;0;0
NC_133194.1	8236118	8236358	241	*	25	3' UTR	20	8228741	8234561	5821	1	hsd17b8	NM_001005292.2	7377	NM_001079992.2;NM_001328265.1;XM_005159442.5;XM_005159443.4;XM_005159448.5;XM_005159450.5;XM_017352253.3;XM_068215158.1;XM_068215159.1;XM_068215160.1;XM_073930945.1;XM_073930946.1;XM_073930947.1;XM_073930948.1;XM_073930949.1;NM_001005292.2	col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;hsd17b8	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7377
NC_133194.1	9657015	9657219	205	*	25	Promoter (1-2kb)	20	9641297	9658762	17466	2	trim46b	NM_001083100.1	1543	XM_009294019.4;XR_012394451.1;XM_005159406.5;XR_012394452.1;NM_001083100.1;XR_012394453.1	trim46b;trim46b;trim46b;trim46b;trim46b;trim46b	0;0;0;0;0;0
NC_133194.1	10218612	10218826	215	*	39	Intron (NM_001044879.2/clk2a, intron 4 of 12)	20	10212808	10230106	17299	1	clk2a	XM_073930914.1	5804	NM_001044879.2;XM_005159437.5;XM_009294047.4;XM_073930912.1;XM_073930913.1;XM_073930915.1;XM_073930914.1	clk2a;clk2a;clk2a;clk2a;clk2a;clk2a;clk2a	0;0;0;0;0;0;0
NC_133194.1	10687832	10687960	129	*	19	Distal Intergenic	20	10630746	10640619	9874	2	LOC141379020	XR_012394933.1	-47213	XM_073931507.1;XM_073931508.1;XM_073931509.1;XM_073931510.1;XM_073931511.1;XM_073931512.1;XM_073931513.1;XM_073931514.1;XM_073931517.1;XM_073931519.1;XM_073931524.1;XM_073931525.1;XM_068215244.2;XM_073931516.1;XM_073931521.1;XM_068215245.2;XM_068215248.2;XM_073931515.1;XM_009294077.4;XM_009294078.5;XM_017352403.3;XM_021468282.2;XM_073931518.1;XM_073931520.1;XM_073931522.1;XM_073931523.1;XR_012394924.1;XR_012394925.1;XR_012394926.1	fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba;fam131ba	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1	10936997	10937050	54	*	17	Promoter (2-3kb)	20	10933999	11045669	111671	1	LOC141379018	XR_012394929.1	2998	XR_012394927.1;XR_012394928.1;XR_012394929.1;XM_005159404.6;NM_001083084.1	LOC141379018;LOC141379018;LOC141379018;cacng7a;cacng7a	0;0;0;0;0
NC_133194.1	10937078	10937188	111	*	22	Intron (XR_012394928.1/LOC141379018, intron 3 of 4)	20	10933999	11045669	111671	1	LOC141379018	XR_012394929.1	3079	XR_012394927.1;XR_012394928.1;XR_012394929.1;XM_005159404.6;NM_001083084.1	LOC141379018;LOC141379018;LOC141379018;cacng7a;cacng7a	0;0;0;0;0
