cne_chr	cne_start	cne_end	cne_phastcons	atac_chr	atac_start	atac_end	atac_peak_name	atac_score
NC_133194.1	103733	104050	23	NC_133194.1	103622	103812	Interval_176050	0
NC_133194.1	428262	428387	19	NC_133194.1	427952	428310	Interval_176122	0
NC_133194.1	836211	836293	15	NC_133194.1	836154	836952	Interval_176202	0
NC_133194.1	913822	913920	24	NC_133194.1	913667	913885	Interval_176221	0
NC_133194.1	923122	923235	16	NC_133194.1	922856	924237	Interval_176222	0
NC_133194.1	923361	923534	20	NC_133194.1	922856	924237	Interval_176222	0
NC_133194.1	1026475	1026563	23	NC_133194.1	1026426	1026640	Interval_176247	0
NC_133194.1	1253425	1253522	17	NC_133194.1	1253480	1254065	Interval_176301	0
NC_133194.1	1918354	1918475	16	NC_133194.1	1918419	1918894	Interval_176459	0
NC_133194.1	2875395	2875476	18	NC_133194.1	2875061	2875643	Interval_176626	0
NC_133194.1	3217656	3217739	16	NC_133194.1	3217574	3217905	Interval_176674	0
NC_133194.1	5960655	5960794	21	NC_133194.1	5960754	5961267	Interval_177167	0
NC_133194.1	7025253	7025391	21	NC_133194.1	7024935	7026579	Interval_177348	0
NC_133194.1	7177759	7177836	14	NC_133194.1	7177617	7177935	Interval_177379	0
NC_133194.1	7280702	7280832	22	NC_133194.1	7280709	7281300	Interval_177400	0
NC_133194.1	7305139	7305279	37	NC_133194.1	7305147	7305492	Interval_177405	0
NC_133194.1	8218419	8218587	17	NC_133194.1	8218386	8218710	Interval_177510	0
NC_133194.1	8236118	8236358	25	NC_133194.1	8235864	8236356	Interval_177512	0
NC_133194.1	9657015	9657219	25	NC_133194.1	9656971	9658750	Interval_177706	0
NC_133194.1	10218612	10218826	39	NC_133194.1	10218280	10218891	Interval_177788	0
NC_133194.1	10687832	10687960	19	NC_133194.1	10687826	10688301	Interval_177841	0
NC_133194.1	10936997	10937050	17	NC_133194.1	10936743	10937191	Interval_177884	0
NC_133194.1	10937078	10937188	22	NC_133194.1	10936743	10937191	Interval_177884	0
NC_133194.1	11315542	11315693	17	NC_133194.1	11315223	11315782	Interval_177954	0
NC_133194.1	11315755	11315877	25	NC_133194.1	11315223	11315782	Interval_177954	0
NC_133194.1	11648024	11648228	26	NC_133194.1	11647798	11648220	Interval_177994	0
NC_133194.1	11782627	11782749	20	NC_133194.1	11782641	11783237	Interval_178005	0
NC_133194.1	14185322	14185421	19	NC_133194.1	14185262	14185870	Interval_178271	0
NC_133194.1	14849132	14849275	29	NC_133194.1	14849252	14849503	Interval_178365	0
NC_133194.1	14855258	14855383	28	NC_133194.1	14855227	14855579	Interval_178366	0
NC_133194.1	14873987	14874052	16	NC_133194.1	14873772	14874205	Interval_178368	0
NC_133194.1	15730056	15730167	17	NC_133194.1	15729486	15730155	Interval_178511	0
NC_133194.1	16494443	16494540	20	NC_133194.1	16494308	16495185	Interval_178645	0
NC_133194.1	17702250	17702328	16	NC_133194.1	17700503	17702317	Interval_178841	0
NC_133194.1	17719457	17719585	22	NC_133194.1	17719296	17719536	Interval_178844	0
NC_133194.1	18888447	18888567	15	NC_133194.1	18888179	18888502	Interval_179068	0
NC_133194.1	18894563	18894651	18	NC_133194.1	18894535	18894927	Interval_179069	0
NC_133194.1	19055047	19055115	19	NC_133194.1	19054151	19055216	Interval_179102	0
NC_133194.1	20887455	20887592	24	NC_133194.1	20887133	20887563	Interval_179209	0
NC_133194.1	21988988	21989101	21	NC_133194.1	21988075	21989940	Interval_179371	0
NC_133194.1	21999462	21999523	16	NC_133194.1	21999330	21999666	Interval_179374	0
NC_133194.1	22023012	22023043	16	NC_133194.1	22022900	22023581	Interval_179382	0
NC_133194.1	23166712	23166862	18	NC_133194.1	23166697	23167509	Interval_179558	0
NC_133194.1	24724428	24724487	21	NC_133194.1	24723737	24724545	Interval_179819	0
NC_133194.1	28576784	28576893	22	NC_133194.1	28576033	28576805	Interval_180383	0
NC_133194.1	28784947	28785024	15	NC_133194.1	28784892	28785110	Interval_180409	0
NC_133194.1	29878154	29878213	15	NC_133194.1	29877925	29880545	Interval_180518	0
NC_133194.1	32336759	32336936	37	NC_133194.1	32336559	32336847	Interval_180852	0
NC_133194.1	33277966	33278029	17	NC_133194.1	33277313	33279229	Interval_180976	0
NC_133194.1	33353455	33353514	17	NC_133194.1	33352610	33353480	Interval_180988	0
NC_133194.1	33984403	33984483	16	NC_133194.1	33983191	33984516	Interval_181077	0
NC_133194.1	34056638	34056715	18	NC_133194.1	34055859	34057134	Interval_181084	0
NC_133194.1	34944021	34944133	18	NC_133194.1	34943712	34944245	Interval_181245	0
NC_133194.1	35241460	35241697	22	NC_133194.1	35241455	35242453	Interval_181282	0
NC_133194.1	35493637	35493767	24	NC_133194.1	35493285	35493794	Interval_181310	0
NC_133194.1	36195584	36195641	18	NC_133194.1	36195421	36196675	Interval_181424	0
NC_133194.1	36226511	36226579	15	NC_133194.1	36226508	36227018	Interval_181432	0
NC_133194.1	37016230	37016361	16	NC_133194.1	37016144	37017736	Interval_181560	0
NC_133194.1	37407782	37407881	21	NC_133194.1	37407756	37407945	Interval_181637	0
NC_133194.1	37473553	37473609	16	NC_133194.1	37473166	37474632	Interval_181651	0
NC_133194.1	37503870	37503943	26	NC_133194.1	37503448	37503879	Interval_181654	0
NC_133194.1	37536289	37536418	18	NC_133194.1	37535664	37536484	Interval_181661	0
NC_133194.1	38683227	38683311	15	NC_133194.1	38682820	38683465	Interval_181910	0
NC_133194.1	38685666	38685734	17	NC_133194.1	38685677	38685880	Interval_181911	0
NC_133194.1	38749159	38749341	23	NC_133194.1	38748069	38749820	Interval_181928	0
NC_133194.1	38805192	38805294	18	NC_133194.1	38805112	38805343	Interval_181940	0
NC_133194.1	38830938	38831100	28	NC_133194.1	38830861	38831077	Interval_181949	0
NC_133194.1	38834784	38834911	19	NC_133194.1	38834656	38834928	Interval_181950	0
NC_133194.1	40053566	40053625	17	NC_133194.1	40052438	40053654	Interval_182241	0
NC_133194.1	40078624	40078713	19	NC_133194.1	40078360	40079874	Interval_182246	0
NC_133194.1	40384292	40384418	30	NC_133194.1	40384227	40384558	Interval_182312	0
NC_133194.1	40384441	40384560	15	NC_133194.1	40384227	40384558	Interval_182312	0
NC_133194.1	40429898	40429999	16	NC_133194.1	40429682	40430128	Interval_182325	0
NC_133194.1	40743089	40743140	22	NC_133194.1	40742659	40743573	Interval_182409	0
NC_133194.1	40811997	40812252	38	NC_133194.1	40811973	40812408	Interval_182422	0
NC_133194.1	41343741	41343808	15	NC_133194.1	41343220	41344192	Interval_182550	0
NC_133194.1	41398141	41398232	28	NC_133194.1	41398157	41398960	Interval_182565	0
NC_133194.1	41734668	41734748	14	NC_133194.1	41734380	41735231	Interval_182646	0
NC_133194.1	42655642	42655761	17	NC_133194.1	42655637	42656255	Interval_182860	0
