seqnames	start	end	width	strand	phastcons	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	gene_name	mean_tpm	z_fpkm	is_active
NC_133176.1	38979191	38979279	89	*	26	Intron (XM_073915570.1/hhip, intron 16 of 17)	2	38754200	38990496	236297	1	hhip	XM_073915570.1	224991	gene-hhip	16.5660345	0.463915051471953	TRUE
NC_133176.1	53130796	53130851	56	*	14	Promoter (2-3kb)	2	53128721	53218083	89363	1	lef1	XM_068222873.2	2075	gene-lef1	8.9468785	0.084984998613091	TRUE
NC_133176.1	53213843	53213872	30	*	14	Intron (XM_068222873.2/lef1, intron 9 of 9)	2	53128721	53218083	89363	1	lef1	XM_068222873.2	85122	gene-lef1	8.9468785	0.084984998613091	TRUE
NC_133176.1	53217493	53217596	104	*	24	3' UTR	2	53128721	53218083	89363	1	lef1	XM_068222873.2	88772	gene-lef1	8.9468785	0.084984998613091	TRUE
NC_133178.1	23797458	23797553	96	*	19	Promoter (1-2kb)	4	23740373	23799360	58988	2	ep300b	XM_009299407.5	1807	gene-ep300b	17.2107035	0.484072204662553	TRUE
NC_133182.1	14209199	14209282	84	*	16	3' UTR	8	13994532	14213480	218949	1	furina	XM_073906893.1	214667	gene-furina	3.7500065	-0.377910218428099	TRUE
NC_133182.1	34362662	34362861	200	*	27	Promoter (<=1kb)	8	34362034	34363588	1555	1	fibinb	NM_001017873.2	628	gene-fibinb	15.7909695	0.447405197533329	TRUE
NC_133182.1	37429899	37430018	120	*	18	Intron (XM_073906586.1/sall1a, intron 3 of 6)	8	37187971	37599395	411425	1	sall1a	XM_073906586.1	241928	gene-sall1a	10.609694	0.189696435707009	TRUE
NC_133182.1	37505538	37505570	33	*	14	Intron (XM_073906586.1/sall1a, intron 3 of 6)	8	37187971	37599395	411425	1	sall1a	XM_073906586.1	317567	gene-sall1a	10.609694	0.189696435707009	TRUE
NC_133182.1	37549467	37549518	52	*	16	Intron (XM_073906586.1/sall1a, intron 3 of 6)	8	37187971	37599395	411425	1	sall1a	XM_073906586.1	361496	gene-sall1a	10.609694	0.189696435707009	TRUE
NC_133182.1	37611427	37611503	77	*	16	Distal Intergenic	8	37589513	37599395	9883	1	sall1a	XM_073906582.1	21914	gene-sall1a	10.609694	0.189696435707009	TRUE
NC_133183.1	34708014	34708090	77	*	16	Promoter (<=1kb)	9	34707607	34880348	172742	1	hmcn2	XM_001920466.9	407	gene-hmcn2	4.6446275	-0.339759746404997	TRUE
NC_133184.1	3673937	3674022	86	*	18	3' UTR	10	3673546	3679087	5542	2	sp5a	NM_180973.3	5065	gene-sp5a	7.649668	-0.00401820705229616	TRUE
NC_133184.1	36252477	36252528	52	*	15	Distal Intergenic	10	36279084	36342124	63041	1	shox	XM_073912212.1	-26556	gene-shox	1.0495015	-1.12030744209151	TRUE
NC_133184.1	36342073	36342123	51	*	20	3' UTR	10	36279084	36342124	63041	1	shox	XM_073912212.1	62989	gene-shox	1.0495015	-1.12030744209151	TRUE
NC_133188.1	35557954	35558016	63	*	17	3' UTR	14	35551971	35558040	6070	1	osr1	NM_001006079.1	5983	gene-osr1	6.3284365	-0.117724262361043	TRUE
NC_133190.1	30885762	30885841	80	*	23	Intron (NM_200251.2/slc43a2a, intron 4 of 4)	16	30875397	30915272	39876	1	slc43a2a	NM_200251.2	10365	gene-slc43a2a	32.439491	0.875102012935546	TRUE
NC_133194.1	2791139	2791224	86	*	16	Promoter (1-2kb)	20	2789169	2792281	3113	2	sp8a	NM_213241.2	1057	gene-sp8a	30.166457	0.836956356291028	TRUE
NC_133194.1	2883484	2883655	172	*	17	3' UTR	20	2840831	2883794	42964	1	sp4	XM_073930619.1	42653	gene-sp4	7.5890305	-0.0224821589381451	TRUE
NC_133195.1	30984048	30984119	72	*	19	Downstream (<=300bp)	21	30975106	30983826	8721	1	dll4	NM_001079835.1	8942	gene-dll4	3.263387	-0.56439569616337	TRUE
NC_133195.1	44007284	44007405	122	*	28	3' UTR	21	44006780	44012070	5291	2	gja1b	NM_131038.1	4665	gene-gja1b	23.545722	0.690469354234273	TRUE
NC_133198.1	42229864	42229958	95	*	20	Promoter (<=1kb)	24	42229087	42237549	8463	1	sall4	XR_225243.6	777	gene-sall4	28.1592055	0.79821489749139	TRUE
