seqnames	start	end	width	strand	phastcons	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	flank_txIds	flank_geneIds	flank_gene_distances
NC_133194.1	5002859	5002973	115	*	17	Intron (XM_073930460.1/col22a1, intron 7 of 64)	20	4958977	5072401	113425	1	col22a1	NM_001291376.1	43882	XM_073930460.1;XM_073930461.1;XM_073930462.1;NM_001291376.1	col22a1;col22a1;col22a1;col22a1	0;0;0;0
NC_133194.1	8269288	8269519	232	*	32	Intron (NM_001079992.2/col11a2, intron 4 of 64)	20	8234867	8280249	45383	2	col11a2	XM_005159442.5	10730	NM_001079992.2;NM_001328265.1;XM_005159442.5;XM_005159443.4;XM_005159448.5;XM_005159450.5;XM_017352253.3;XM_068215158.1;XM_068215159.1;XM_068215160.1;XM_073930945.1;XM_073930946.1;XM_073930947.1;XM_073930948.1;XM_073930949.1	col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1	21988988	21989101	114	*	21	Promoter (<=1kb)	20	21988926	21990705	1780	1	hoxa13a	NM_001085494.1	62	XM_068215023.2;XM_068215024.2;XM_073930500.1;XM_073930501.1;XM_073930503.1;XM_073930504.1;XM_073930505.1;XM_073930506.1;NM_001085494.1	evx1;evx1;evx1;evx1;evx1;evx1;evx1;evx1;hoxa13a	0;0;0;0;0;0;0;0;0
NC_133194.1	21999462	21999523	62	*	16	Promoter (2-3kb)	20	21996714	21998267	1554	1	hoxa11a	NM_131544.1	2748	XM_068215023.2;XM_068215024.2;XM_073930500.1;XM_073930501.1;XM_073930503.1;XM_073930504.1;XM_073930505.1;XM_073930506.1;XM_005159523.5;NM_131544.1	evx1;evx1;evx1;evx1;evx1;evx1;evx1;evx1;hoxa11a;hoxa11a	0;0;0;0;0;0;0;0;2821;2748
NC_133194.1	22023012	22023043	32	*	16	Promoter (1-2kb)	20	22021618	22039838	18221	1	hoxa3a	XM_068215184.2	1394	XM_068215023.2;XM_068215024.2;XM_073930500.1;XM_073930501.1;XM_073930503.1;XM_073930504.1;XM_073930505.1;XM_073930506.1;XM_073931086.1;XM_073931087.1;NM_131534.2;XM_068215184.2;XM_073931089.1;NM_131535.1;XM_073931090.1;NM_131540.1	evx1;evx1;evx1;evx1;evx1;evx1;evx1;evx1;hoxa3a;hoxa3a;hoxa3a;hoxa3a;hoxa4a;hoxa4a;hoxa5a;hoxa5a	0;0;0;0;0;0;0;0;0;0;0;0;-2130;-4087;7423;3904
NC_133194.1	23166712	23166862	151	*	18	Intron (NM_001020601.1/ngly1, intron 6 of 10)	20	23161732	23177313	15582	2	ngly1	NM_001020601.1	10451	XR_012394568.1;XR_012394569.1;NM_001020601.1	ngly1;ngly1;ngly1	0;0;0
NC_133194.1	24858596	24858658	63	*	19	Intron (XM_021468118.2/pleca, intron 8 of 32)	20	24815555	24886282	70728	2	pleca	XM_021468118.2	27624	XM_021468118.2;XM_073930979.1;NM_001100032.1;XM_021468112.1;XM_073930977.1;XM_073930981.1;XM_073930980.1;XM_073930982.1;XM_073930986.1;XM_073930987.1;XM_073930990.1;XM_073930991.1;XM_021468120.2;XM_073930984.1;XM_073930989.1;XM_073930983.1;XM_073930985.1;XM_073930988.1;XM_073930975.1;XM_073930976.1;XM_073930978.1;XM_021468102.3;XM_021468103.3;XM_021468104.3;NM_001430891.1	pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1	24873680	24873757	78	*	19	Intron (XM_021468118.2/pleca, intron 2 of 32)	20	24815555	24886282	70728	2	pleca	XM_021468118.2	12525	XM_021468118.2;XM_073930979.1;NM_001100032.1;XM_021468112.1;XM_073930977.1;XM_073930981.1;XM_073930980.1;XM_073930982.1;XM_073930986.1;XM_073930987.1;XM_073930990.1;XM_073930991.1;XM_021468120.2;XM_073930984.1;XM_073930989.1;XM_073930983.1;XM_073930985.1;XM_073930988.1;XM_073930975.1;XM_073930976.1;XM_073930978.1;XM_021468102.3;XM_021468103.3;XM_021468104.3;NM_001430891.1	pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca;pleca	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1	45239092	45239180	89	*	15	Intron (NM_001256656.1/vps45, intron 12 of 14)	20	45204047	45228482	24436	2	plekho1a	XM_005159748.6	-10610	NM_001256656.1	vps45	0
NC_133194.1	45239266	45239396	131	*	16	Intron (NM_001256656.1/vps45, intron 12 of 14)	20	45204047	45228482	24436	2	plekho1a	XM_005159748.6	-10784	NM_001256656.1	vps45	0
NC_133194.1	46157970	46158140	171	*	22	Intron (XM_021468031.3/matn1, intron 3 of 6)	20	46146577	46170149	23573	1	matn1	NM_001099740.2	11393	XM_021468031.3;NM_001099740.2	matn1;matn1	0;0
NC_133194.1	49010530	49010678	149	*	18	Intron (XR_012394515.1/rbm24a, intron 1 of 5)	20	49004398	49037889	33492	1	rbm24a	NM_212865.1	6132	XR_012394515.1;XR_012394512.1;XR_012394513.1;XR_012394514.1;XR_012394516.1;XR_012394517.1;NM_212865.1	rbm24a;rbm24a;rbm24a;rbm24a;rbm24a;rbm24a;rbm24a	0;0;0;0;0;0;0
NC_133183.1	1400570	1400637	68	*	18	Intron (XM_021478292.3/smyd1b, intron 2 of 8)	9	1373107	1409125	36019	2	smyd1b	NM_001039636.1	8488	XM_021478292.3;NM_001039636.1	smyd1b;smyd1b	0;0
NC_133183.1	9077292	9077493	202	*	29	Intron (XM_005166699.5/hcfc1b, intron 14 of 27)	9	9041692	9102991	61300	2	hcfc1b	XM_005166699.5	25498	XM_005166699.5;XM_021478282.2;XM_073909678.1;NM_001128537.1	hcfc1b;hcfc1b;hcfc1b;hcfc1b	0;0;0;0
NC_133183.1	9088510	9088601	92	*	18	Intron (XM_005166699.5/hcfc1b, intron 8 of 27)	9	9041692	9102991	61300	2	hcfc1b	XM_005166699.5	14390	XM_005166699.5;XM_021478282.2;XM_073909678.1;NM_001128537.1	hcfc1b;hcfc1b;hcfc1b;hcfc1b	0;0;0;0
NC_133183.1	12580722	12580795	74	*	15	Intron (NM_001007774.1/bcas2, intron 6 of 6)	9	12531957	12576109	44153	2	trim33	XR_012383566.1	-4613	NM_001007774.1;NM_001002871.2;XM_005166728.6;XR_012383566.1	bcas2;trim33;trim33;trim33	0;-4614;-4613;-4613
NC_133183.1	12826418	12826524	107	*	17	Intron (XM_009303781.5/pip5k1bb, intron 8 of 14)	9	12779808	12807115	27308	2	unc45b	XM_017357270.3	-19303	XM_009303781.5;XM_073909337.1;NM_001004579.1;XM_005166729.5;XR_011016484.2;XR_012383683.1	pip5k1bb;pip5k1bb;pip5k1bb;pip5k1bb;pip5k1bb;pip5k1bb	0;0;0;0;0;0
NC_133183.1	15998720	15998832	113	*	15	Promoter (2-3kb)	9	15973957	16001600	27644	2	sin3b	NM_001044945.1	2768	NM_001044945.1;XR_012383750.1	sin3b;sin3b	0;0
NC_133183.1	23080668	23080735	68	*	18	Intron (XM_005166863.6/col2a1a, intron 18 of 52)	9	23069876	23092849	22974	1	col2a1a	NM_131292.1	10792	XM_005166863.6;NM_131292.1	col2a1a;col2a1a	0;0
NC_133183.1	23081980	23082197	218	*	21	Intron (XM_005166863.6/col2a1a, intron 26 of 52)	9	23069876	23092849	22974	1	col2a1a	NM_131292.1	12104	XM_005166863.6;NM_131292.1	col2a1a;col2a1a	0;0
NC_133183.1	23168606	23168682	77	*	25	Intron (NM_001313811.1/itpr3, intron 8 of 59)	9	23154748	23227405	72658	1	itpr3	XM_017357380.3	13858	NM_001313811.1;XM_017357380.3	itpr3;itpr3	0;0
NC_133183.1	23170122	23170254	133	*	20	Intron (NM_001313811.1/itpr3, intron 10 of 59)	9	23154748	23227405	72658	1	itpr3	XM_017357380.3	15374	NM_001313811.1;XM_017357380.3	itpr3;itpr3	0;0
NC_133183.1	23179163	23179269	107	*	21	Intron (NM_001313811.1/itpr3, intron 19 of 59)	9	23154748	23227405	72658	1	itpr3	XM_017357380.3	24415	NM_001313811.1;XM_017357380.3	itpr3;itpr3	0;0
NC_133183.1	23180024	23180282	259	*	36	Intron (NM_001313811.1/itpr3, intron 20 of 59)	9	23154748	23227405	72658	1	itpr3	XM_017357380.3	25276	NM_001313811.1;XM_017357380.3	itpr3;itpr3	0;0
NC_133183.1	23186004	23186107	104	*	17	Intron (NM_001313811.1/itpr3, intron 24 of 59)	9	23154748	23227405	72658	1	itpr3	XM_017357380.3	31256	NM_001313811.1;XM_017357380.3	itpr3;itpr3	0;0
NC_133183.1	23188398	23188561	164	*	18	Intron (NM_001313811.1/itpr3, intron 27 of 59)	9	23154748	23227405	72658	1	itpr3	XM_017357380.3	33650	NM_001313811.1;XM_017357380.3	itpr3;itpr3	0;0
NC_133183.1	25959488	25959821	334	*	29	Intron (XM_073909735.1/cpne5a, intron 19 of 21)	9	25991658	26191896	200239	1	mmp9	XM_073909284.1	-31837	XM_073909735.1;XM_073909732.1;XM_073909734.1;XM_073909733.1;XM_073909728.1;XM_073909730.1;XM_073909731.1;XM_073909729.1;NM_001123286.2;NM_001423518.1	cpne5a;cpne5a;cpne5a;cpne5a;cpne5a;cpne5a;cpne5a;cpne5a;cpne5a;cpne5a	0;0;0;0;0;0;0;0;0;0
NC_133183.1	32080141	32080204	64	*	15	Intron (NM_001305542.1/ptch1, intron 8 of 23)	9	32043153	32146243	103091	1	ptch1	XR_001800065.4	36988	NM_001305542.1;XR_001800065.4	ptch1;ptch1	0;0
NC_133183.1	32091188	32091349	162	*	19	Intron (NM_001305542.1/ptch1, intron 11 of 23)	9	32043153	32146243	103091	1	ptch1	XR_001800065.4	48035	NM_001305542.1;XR_001800065.4	ptch1;ptch1	0;0
NC_133183.1	32537744	32537883	140	*	25	Promoter (<=1kb)	9	32537617	32576226	38610	1	pgm5	NM_001126396.1	127	NM_131270.1;NM_001126396.1	foxd5;pgm5	3343;0
NC_133183.1	34719332	34719464	133	*	25	Intron (XM_001920466.9/hmcn2, intron 3 of 80)	9	34707607	34880348	172742	1	hmcn2	XM_001920466.9	11725	XM_001920466.9	hmcn2	0
NC_133183.1	57840167	57840244	78	*	20	Intron (XM_001922892.9/prdm16, intron 1 of 16)	9	57830812	58307135	476324	1	prdm16	XM_073911182.1	9355	XM_001922892.9;XM_005167301.6;XM_005167304.6;XM_009304276.5;XM_021478491.3;XM_021478492.3;XM_021478493.3;XM_021478494.3;XM_073911162.1;XM_073911163.1;XM_073911164.1;XM_073911169.1;XM_073911170.1;XM_073911171.1;XM_073911175.1;XM_073911176.1;XM_073911177.1;XM_073911178.1;XM_073911179.1;XM_073911180.1;XM_073911181.1;XM_073911182.1	prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133183.1	57886809	57886883	75	*	18	Intron (XM_001922892.9/prdm16, intron 1 of 16)	9	57894039	58307135	413097	1	prdm16	XM_073911160.1	-7156	XR_012384764.1;XM_001922892.9;XM_005167301.6;XM_005167304.6;XM_009304276.5;XM_021478491.3;XM_021478492.3;XM_021478493.3;XM_021478494.3;XM_073911162.1;XM_073911163.1;XM_073911164.1;XM_073911169.1;XM_073911170.1;XM_073911171.1;XM_073911175.1;XM_073911176.1;XM_073911177.1;XM_073911178.1;XM_073911179.1;XM_073911180.1;XM_073911181.1;XM_073911182.1	LOC141375930;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133183.1	58237378	58237498	121	*	19	Promoter (1-2kb)	9	58235878	58307135	71258	1	prdm16	XM_073911200.1	1500	XM_001922892.9;XM_005167301.6;XM_005167304.6;XM_009304276.5;XM_021478491.3;XM_021478492.3;XM_021478493.3;XM_021478494.3;XM_073911162.1;XM_073911163.1;XM_073911164.1;XM_073911169.1;XM_073911170.1;XM_073911171.1;XM_073911175.1;XM_073911176.1;XM_073911177.1;XM_073911178.1;XM_073911179.1;XM_073911180.1;XM_073911181.1;XM_073911182.1;XM_073911160.1;XM_073911165.1;XM_073911166.1;XM_073911167.1;XM_073911168.1;XM_073911172.1;XM_073911173.1;XM_073911174.1;XM_073911183.1;XM_073911185.1;XM_073911186.1;XM_073911187.1;XM_073911188.1;XM_073911189.1;XM_073911190.1;XM_073911191.1;XM_073911184.1;XM_068223225.2;XR_012384759.1;XM_073911192.1;XM_073911193.1;XM_073911194.1;XM_073911195.1;XM_073911196.1;XM_073911197.1;XM_073911198.1;XM_073911199.1;XM_073911200.1	prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133183.1	58252648	58252706	59	*	15	Intron (XM_001922892.9/prdm16, intron 10 of 16)	9	58235878	58307135	71258	1	prdm16	XM_073911200.1	16770	XM_001922892.9;XM_005167301.6;XM_005167304.6;XM_009304276.5;XM_021478491.3;XM_021478492.3;XM_021478493.3;XM_021478494.3;XM_073911162.1;XM_073911163.1;XM_073911164.1;XM_073911169.1;XM_073911170.1;XM_073911171.1;XM_073911175.1;XM_073911176.1;XM_073911177.1;XM_073911178.1;XM_073911179.1;XM_073911180.1;XM_073911181.1;XM_073911182.1;XM_073911160.1;XM_073911165.1;XM_073911166.1;XM_073911167.1;XM_073911168.1;XM_073911172.1;XM_073911173.1;XM_073911174.1;XM_073911183.1;XM_073911185.1;XM_073911186.1;XM_073911187.1;XM_073911188.1;XM_073911189.1;XM_073911190.1;XM_073911191.1;XM_073911184.1;XM_068223225.2;XR_012384759.1;XM_073911192.1;XM_073911193.1;XM_073911194.1;XM_073911195.1;XM_073911196.1;XM_073911197.1;XM_073911198.1;XM_073911199.1;XM_073911200.1	prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16;prdm16	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133183.1	59742394	59742449	56	*	20	Intron (NM_199550.1/naa35, intron 19 of 22)	9	59757252	59790846	33595	1	gfpt1	XR_012383791.1	-14803	NM_199550.1	naa35	0
NC_133183.1	59769035	59769155	121	*	18	Intron (XR_012383791.1/gfpt1, intron 2 of 11)	9	59757265	59823406	66142	1	gfpt1	NM_001034981.1	11770	XR_012383791.1;XM_073909727.1;XM_073909726.1;NM_001034981.1	gfpt1;gfpt1;gfpt1;gfpt1	0;0;0;0
