gene	observed	raw_count	domain_width	expected	obs_exp	per_100kb	fdr	rank_raw_domain_count	rank_domain_normalised	rank_change	is_ohnologue
pcdh2g3	4	NA	12230	0.005270452725105779	758.948084468345	32.70645952575634	3.158909160303735e-7	20	1	19	FALSE
hmgb1a	3	3	11168	0.004812789536711475	623.3391211305421	26.86246418338109	7.043351594991641e-5	42	2	40	TRUE
pcdh2g12	3	NA	17814	0.007676847493461517	390.78541062006815	16.840687100033684	2.3175580364398e-4	42	3	39	FALSE
phf3	1	NA	6000	0.0025856677310412655	386.7472947103274	16.666666666666668	0.9327568875570424	219	4	215	FALSE
pcdh2ab9	1	NA	6000	0.0025856677310412655	386.7472947103274	16.666666666666668	0.9327568875570424	219	4	215	FALSE
pcdh2g2	2	NA	12230	0.005270452725105779	379.4740422341725	16.35322976287817	0.018065386600375162	81	6	75	FALSE
hoxb7a	1	NA	6212	0.0026770279908713904	373.5485782778436	16.097875080489374	0.9468599412338317	219	7	212	TRUE
zic5	1	NA	6425	0.002768819195323355	361.16478883454704	15.56420233463035	0.9723361775164415	219	8	211	FALSE
pcdh2ab7	1	NA	6621	0.0028532843412040366	350.4733073949501	15.103458692040476	0.9827093890384478	219	9	210	FALSE
ifi27.7	1	NA	6632	0.0028580247320442787	349.89200365831795	15.078407720144751	0.9827093890384478	219	10	209	FALSE
foxd3	1	NA	6720	0.0028959478587662173	345.3100845627924	14.880952380952381	0.9880376420386051	219	11	208	FALSE
LOC141377656	4	NA	33152	0.014286676103246672	279.98114964550734	12.065637065637066	9.407553495454354e-6	20	12	8	FALSE
si:ch73-30b17.2	1	1	8724	0.003759560880934	265.988510804902	11.462631820265933	1	219	13	206	FALSE
si:dkey-184p9.7	1	NA	8769	0.0037789533889168096	264.62353384216726	11.403808872163301	1	219	14	205	FALSE
dnajc8	1	NA	8982	0.0038707445933687744	258.34822625940376	11.133377866844802	1	219	15	204	FALSE
LOC108192077	2	NA	18121	0.0078091474923664625	256.1099021314458	11.036918492356934	0.03756968620464835	81	16	65	FALSE
zbtb34	1	NA	9737	0.0041961077828581335	238.31608999301272	10.270103728047653	1	219	17	202	FALSE
pcdh2g29	2	NA	21031	0.009063196341921475	220.6726991832975	9.509771290000476	0.04672951946970946	81	18	63	FALSE
hoxb8a	1	1	10551	0.004546896705036066	219.93022161519897	9.477774618519572	1	219	19	200	TRUE
LOC137489060	1	NA	11540	0.004973100936036034	201.0817823450576	8.665511265164644	1	219	20	199	FALSE
trim35-34	1	NA	11540	0.004973100936036034	201.0817823450576	8.665511265164644	1	219	20	199	FALSE
pcdh1a6	6	NA	71229	0.030695754469056383	195.46677069131658	8.423535357789664	1.3853986990437892e-8	4	22	-18	FALSE
pcdh1g1	6	NA	71229	0.030695754469056383	195.46677069131658	8.423535357789664	1.3853986990437892e-8	4	22	-18	FALSE
foxf2b	1	NA	12455	0.005367415265019827	186.30941535623964	8.028904054596548	1	219	24	195	TRUE
marchf7	1	NA	13810	0.005951345227613313	168.02923738319802	7.24112961622013	1	219	25	194	FALSE
baz2ba	1	NA	13810	0.005951345227613313	168.02923738319802	7.24112961622013	1	219	25	194	TRUE
hoxc11a	1	1	13967	0.006019003533242226	166.14045738254205	7.1597336579079265	1	219	27	192	TRUE
ddx49	1	NA	14317	0.0061698341508863	162.07891096332784	6.984703499336454	1	219	28	191	FALSE
fam120a	2	2	28992	0.012493946476391396	160.07752264500309	6.898454746136865	0.07326150702363564	81	29	52	TRUE
sub1b	1	NA	15152	0.006529672910122876	153.14702800039365	6.599788806758184	1	219	30	189	TRUE
LOC141378962	1	1	15218	0.00655811525516433	152.4828340295679	6.571165724799579	1	219	31	188	FALSE
LOC137490349	1	NA	15376	0.006626204505415083	150.91595787343684	6.503642039542143	1	219	32	187	FALSE
ifitm1	1	NA	15898	0.006851157598015673	145.9607352032938	6.29009938357026	1	219	33	186	FALSE
kyat1	1	1	15898	0.006851157598015673	145.9607352032938	6.29009938357026	1	219	33	186	FALSE
skor1a	1	1	15929	0.00686451688129272	145.67667576508032	6.277857994852157	1	219	35	184	TRUE
foxf1	1	1	16188	0.006976131538349335	143.3459209452659	6.177415369409439	1	219	36	183	FALSE
cry5	1	NA	16557	0.007135150103808372	140.15122113075827	6.03974149906384	1	219	37	182	FALSE
aldoca	3	1	49984	0.0215403359780611	139.2735936456845	6.001920614596671	0.0033779018633804305	42	38	4	TRUE
LOC141380683	7	NA	118871	0.051226818142767715	136.6471753231129	5.888736529515189	8.5580626024665e-9	3	39	-36	FALSE
mir124-5	1	NA	17423	0.007508348146321994	133.18508685427108	5.739539688916949	1	219	40	179	FALSE
pcdh2g9	1	NA	17814	0.007676847493461517	130.26180354002273	5.613562366677894	1	219	41	178	FALSE
si:ch211-259g3.4	3	3	53892	0.023224467560212646	129.17411312970188	5.566688933422401	0.003903176858794287	42	42	0	FALSE
kcnj1b	1	1	17993	0.007753986580770915	128.96591831612096	5.557716889901628	1	219	43	176	TRUE
arxa	1	1	18325	0.007897060195221866	126.62940072370884	5.457025920873124	1	219	44	175	TRUE
pah	1	1	18342	0.007904386253793149	126.5120362153508	5.451968160505943	1	219	45	174	FALSE
zgc:113090	2	NA	36809	0.015862640585316324	126.08241290238608	5.43345377489201	0.10633781931776654	81	46	35	FALSE
LOC110438852	1	NA	18510	0.007976784950262304	125.36379082992786	5.4024851431658565	1	219	47	172	FALSE
LOC141379991	1	NA	18786	0.008095725665890202	123.52197212083279	5.323112956456936	1	219	48	171	FALSE
mnx1	1	1	19506	0.008406005793615154	118.96256373741232	5.126627704296114	1	219	49	170	FALSE
lmbr1	1	NA	19506	0.008406005793615154	118.96256373741232	5.126627704296114	1	219	49	170	FALSE
pald1a	2	NA	39504	0.01702403634117569	117.48095222063411	5.0627784528149045	0.11830507158956785	81	51	30	TRUE
pcdh2aa1	1	4	20778	0.008954167352595903	111.67984253835617	4.812782750986621	1	219	52	167	FALSE
pmela	1	NA	21234	0.009150678100155038	109.28151870876731	4.709428275407365	1	219	53	166	TRUE
hnf1ba	2	1	42825	0.018455203430307033	108.37052040919858	4.670169293636894	0.13021894554905003	81	54	27	TRUE
rnf220b	1	1	21560	0.009291166046874947	107.6291172663249	4.638218923933209	1	219	55	164	TRUE
emsy	1	1	21585	0.009301939662420952	107.50445996117512	4.632846884410471	1	219	56	163	FALSE
si:ch73-233f7.7	1	NA	21620	0.00931702272418536	107.33042406392066	4.6253469010175765	1	219	57	162	FALSE
slc7a6os	2	NA	43989	0.018956822970129038	105.50291064866056	4.546591193252858	0.1352351108461317	81	58	23	FALSE
tmem9b	2	NA	44685	0.019256760426929826	103.85962932805033	4.4757748685241125	0.13740662431294276	81	59	22	TRUE
