seqnames	start	end	width	strand	phastcons	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	gene_name	mean_tpm	z_fpkm	is_active	in_atac_peak	nearby_gene_active	nearby_gene_fin_dev	overlaps_chan_enhancer	overlaps_yuesong_cne
NC_133176.1	5347970	5348035	66	*	16	Distal Intergenic	2	5398314	5402702	4389	2	LOC141384398	XR_012405396.1	54667	gene-LOC141384398	0	-Inf	FALSE	0	0	0	0	0
NC_133176.1	9196873	9196918	46	*	16	Intron (XR_012405427.1/LOC141384503, intron 2 of 2)	2	9194512	9272265	77754	2	LOC141384503	XR_012405427.1	75347	gene-LOC141384503	0	-Inf	FALSE	0	0	0	0	0
NC_133176.1	10219277	10219323	47	*	15	Intron (XM_073949347.1/grin2ab, intron 4 of 13)	2	10192090	10345208	153119	2	grin2ab	XM_073949347.1	125885	gene-grin2ab	0.0416725	-3.44177877053184	FALSE	0	0	0	0	0
NC_133176.1	12238422	12238474	53	*	18	Intron (XM_021475869.3/dmd, intron 75 of 77)	2	12221231	12454214	232984	2	dmd	XM_021475869.3	215740	gene-dmd	14.851345	0.38968889972611	TRUE	0	1	0	0	0
NC_133176.1	14932103	14932167	65	*	20	Intron (XR_012405510.1/LOC137489979, intron 4 of 9)	2	14671064	15326763	655700	2	LOC137489979	XR_012405510.1	394596	gene-LOC137489979	0.048803	-3.46924523543032	FALSE	0	0	0	0	0
NC_133176.1	19189316	19189401	86	*	17	Intron (XM_005168366.5/si:ch211-197n1.2, intron 12 of 17)	2	19160886	19218161	57276	2	si:ch211-197n1.2	XM_005168366.5	28760	gene-si:ch211-197n1.2	0.8042815	-1.37920320372771	TRUE	1	1	0	0	1
NC_133176.1	25698491	25698566	76	*	26	Intron (XM_002660442.8/lrba, intron 37 of 55)	2	25537692	25968855	431164	2	lrba	XM_002660442.8	270289	gene-lrba	5.0048595	-0.293614433519114	TRUE	0	1	0	0	0
NC_133176.1	25723845	25723962	118	*	16	Intron (XM_002660442.8/lrba, intron 36 of 55)	2	25537692	25968855	431164	2	lrba	XM_002660442.8	244893	gene-lrba	5.0048595	-0.293614433519114	TRUE	1	1	0	0	0
NC_133176.1	28750306	28750331	26	*	13	Intron (XM_073945882.1/bnc2, intron 1 of 5)	2	28662513	28850069	187557	1	bnc2	XM_073945882.1	87793	gene-bnc2	3.4907485	-0.50700408865665	TRUE	0	1	0	0	0
NC_133176.1	38979191	38979279	89	*	26	Intron (XM_073915570.1/hhip, intron 16 of 17)	2	38754200	38990496	236297	1	hhip	XM_073915570.1	224991	gene-hhip	16.5660345	0.463915051471953	TRUE	0	1	0	0	0
NC_133176.1	39504498	39504618	121	*	19	Intron (XR_012407221.1/LOC141386125, intron 1 of 2)	2	39486028	39519202	33175	2	LOC141386125	XR_012407221.1	14584	gene-LOC141386125	0.014374	-3.40041751928347	FALSE	0	0	0	0	0
NC_133176.1	39528752	39528817	66	*	17	Distal Intergenic	2	39486028	39519202	33175	2	LOC141386125	XR_012407221.1	-9550	gene-LOC141386125	0.014374	-3.40041751928347	FALSE	1	0	0	0	0
NC_133176.1	39571887	39571972	86	*	35	Promoter (<=1kb)	2	39572356	39574153	1798	1	pou4f2	NM_212807.1	-384	gene-pou4f2	0.673698	-1.68389383896364	TRUE	1	1	0	0	0
NC_133176.1	39574991	39575078	88	*	28	Promoter (2-3kb)	2	39572356	39574153	1798	1	pou4f2	NM_212807.1	2635	gene-pou4f2	0.673698	-1.68389383896364	TRUE	0	1	0	0	1
NC_133176.1	39575496	39575564	69	*	18	Distal Intergenic	2	39572356	39574153	1798	1	pou4f2	NM_212807.1	3140	gene-pou4f2	0.673698	-1.68389383896364	TRUE	0	1	0	0	0
