seqnames	start	end	width	strand	phastcons	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	gene_name	mean_tpm	z_fpkm_mean	z_fpkm_first	n_active_samples	n_samples	is_active	activity_measured	dist_to_tss_signed
NC_002333.2	1249	1282	34	*	15	Promoter (<=1kb)	1	1020	1971	952	1	mt-rnr1	NA	229	gene-mt-rnr1	57.4983115	1.21982081043142	1.39985433074405	2	2	TRUE	TRUE	245
NC_002333.2	1440	1467	28	*	21	Promoter (<=1kb)	1	1020	1971	952	1	mt-rnr1	NA	420	gene-mt-rnr1	57.4983115	1.21982081043142	1.39985433074405	2	2	TRUE	TRUE	433
NC_002333.2	1526	1611	86	*	34	Promoter (<=1kb)	1	1020	1971	952	1	mt-rnr1	NA	506	gene-mt-rnr1	57.4983115	1.21982081043142	1.39985433074405	2	2	TRUE	TRUE	-404
NC_002333.2	1700	1745	46	*	21	Promoter (<=1kb)	1	1020	1971	952	1	mt-rnr1	NA	680	gene-mt-rnr1	57.4983115	1.21982081043142	1.39985433074405	2	2	TRUE	TRUE	-250
NC_002333.2	1916	1963	48	*	25	Promoter (<=1kb)	1	1020	1971	952	1	mt-rnr1	NA	896	gene-mt-rnr1	57.4983115	1.21982081043142	1.39985433074405	2	2	TRUE	TRUE	-33
NC_002333.2	2179	2214	36	*	16	Promoter (<=1kb)	1	2043	3725	1683	1	mt-rnr2	NA	136	gene-mt-rnr2	91.707662	1.5134974722595	1.66976198741454	2	2	TRUE	TRUE	153
NC_002333.2	2359	2388	30	*	17	Promoter (<=1kb)	1	2043	3725	1683	1	mt-rnr2	NA	316	gene-mt-rnr2	91.707662	1.5134974722595	1.66976198741454	2	2	TRUE	TRUE	330
NC_002333.2	7058	7155	98	*	18	Promoter (<=1kb)	1	6425	7975	1551	1	COX1	NA	633	gene-COX1	3856.1998165	3.83535840536049	3.88323678046425	2	2	TRUE	TRUE	681
NC_002333.2	7214	7392	179	*	33	Promoter (<=1kb)	1	6425	7975	1551	1	COX1	NA	789	gene-COX1	3856.1998165	3.83535840536049	3.88323678046425	2	2	TRUE	TRUE	743
NC_002333.2	8706	8752	47	*	16	Promoter (<=1kb)	1	8130	8820	691	1	COX2	NA	576	gene-COX2	5154.839051	4.0155913214078	4.04998351477322	2	2	TRUE	TRUE	-92
NC_002333.2	9733	9784	52	*	20	Promoter (<=1kb)	1	9735	10520	786	1	COX3	NA	0	gene-COX3	3777.1998855	3.82262586570323	3.87036119937986	2	2	TRUE	TRUE	23
NC_002333.2	10425	10557	133	*	22	Promoter (<=1kb)	1	10520	10589	70	1	trnG	NA	0	gene-trnG	0	-Inf	-Inf	0	2	FALSE	TRUE	-29
NC_002333.2	15710	15753	44	*	17	Promoter (<=1kb)	1	15308	16448	1141	1	CYTB	NA	402	gene-CYTB	1354.938715	3.18822399254157	3.25898484331738	2	2	TRUE	TRUE	423
NC_002333.2	16562	16596	35	*	9	Promoter (<=1kb)	1	16527	16596	70	2	trnP	NA	0	gene-trnP	0	-Inf	-Inf	0	2	FALSE	TRUE	17
NC_133176.1	203716	203750	35	*	15	Promoter (1-2kb)	2	202376	206786	4411	1	cep97	XM_009305058.4	1340	gene-cep97	16.1666315	0.464502220577552	0.475108857572305	2	2	TRUE	TRUE	1357
NC_133176.1	203947	203980	34	*	14	Promoter (1-2kb)	2	202376	206786	4411	1	cep97	XM_009305058.4	1571	gene-cep97	16.1666315	0.464502220577552	0.475108857572305	2	2	TRUE	TRUE	1587
NC_133176.1	204449	204482	34	*	16	Promoter (2-3kb)	2	202376	206786	4411	1	cep97	XM_009305058.4	2073	gene-cep97	16.1666315	0.464502220577552	0.475108857572305	2	2	TRUE	TRUE	2089
NC_133176.1	229496	229521	26	*	14	3' UTR	2	229396	234639	5244	2	tmem39a	XM_068223340.2	5118	gene-tmem39a	20.577635	0.612318909658936	0.648317689104863	2	2	TRUE	TRUE	2689
