set	seqnames	start	end	width	strand	phastcons
sarcopterygii	NC_000001.11	3212083	3212319	237	*	25
sarcopterygii	NC_000001.11	3266191	3266264	74	*	17
sarcopterygii	NC_000001.11	10706605	10706666	62	*	28
sarcopterygii	NC_000001.11	10738861	10738976	116	*	18
sarcopterygii	NC_000001.11	10789591	10789646	56	*	15
sarcopterygii	NC_000001.11	10789842	10789908	67	*	18
sarcopterygii	NC_000001.11	36658190	36658260	71	*	15
sarcopterygii	NC_000001.11	40937371	40937515	145	*	17
sarcopterygii	NC_000001.11	44248749	44248852	104	*	23
sarcopterygii	NC_000001.11	44540424	44540522	99	*	30
sarcopterygii	NC_000001.11	44562446	44562530	85	*	25
sarcopterygii	NC_000001.11	50134281	50134398	118	*	15
sarcopterygii	NC_000001.11	50295813	50295900	88	*	26
sarcopterygii	NC_000001.11	50570040	50570070	31	*	15
sarcopterygii	NC_000001.11	55368667	55368719	53	*	15
sarcopterygii	NC_000001.11	60858481	60858547	67	*	32
sarcopterygii	NC_000001.11	62904983	62905020	38	*	17
sarcopterygii	NC_000001.11	62937846	62937930	85	*	21
sarcopterygii	NC_000001.11	62978064	62978100	37	*	15
sarcopterygii	NC_000001.11	62979880	62979970	91	*	20
sarcopterygii	NC_000001.11	62980004	62980040	37	*	14
sarcopterygii	NC_000001.11	63112713	63112935	223	*	34
sarcopterygii	NC_000001.11	63124938	63125098	161	*	40
sarcopterygii	NC_000001.11	63135094	63135121	28	*	17
sarcopterygii	NC_000001.11	63524421	63524474	54	*	21
sarcopterygii	NC_000001.11	63746266	63746376	111	*	17
sarcopterygii	NC_000001.11	64172836	64172959	124	*	21
sarcopterygii	NC_000001.11	72274597	72274637	41	*	20
sarcopterygii	NC_000001.11	74235306	74235364	59	*	16
sarcopterygii	NC_000001.11	80656893	80656962	70	*	14
sarcopterygii	NC_000001.11	81700626	81700680	55	*	19
sarcopterygii	NC_000001.11	81936993	81937202	210	*	19
sarcopterygii	NC_000001.11	81954647	81954739	93	*	26
sarcopterygii	NC_000001.11	81954751	81954793	43	*	25
sarcopterygii	NC_000001.11	81989300	81989441	142	*	16
sarcopterygii	NC_000001.11	85413345	85413449	105	*	17
sarcopterygii	NC_000001.11	85578529	85578580	52	*	20
sarcopterygii	NC_000001.11	87336661	87336799	139	*	30
sarcopterygii	NC_000001.11	87498470	87498632	163	*	32
sarcopterygii	NC_000001.11	88181068	88181199	132	*	30
sarcopterygii	NC_000001.11	88181436	88181502	67	*	23
sarcopterygii	NC_000001.11	88182038	88182162	125	*	28
sarcopterygii	NC_000001.11	90039466	90039618	153	*	26
sarcopterygii	NC_000001.11	90088521	90088605	85	*	20
sarcopterygii	NC_000001.11	90175962	90176220	259	*	66
sarcopterygii	NC_000001.11	90409227	90409393	167	*	55
sarcopterygii	NC_000001.11	90501481	90501554	74	*	15
sarcopterygii	NC_000001.11	90537895	90537959	65	*	17
sarcopterygii	NC_000001.11	90568026	90568065	40	*	14
sarcopterygii	NC_000001.11	90647939	90648310	372	*	37
sarcopterygii	NC_000001.11	90729954	90730027	74	*	15
sarcopterygii	NC_000001.11	90759432	90759479	48	*	17
sarcopterygii	NC_000001.11	90833551	90833644	94	*	24
sarcopterygii	NC_000001.11	92346999	92347049	51	*	16
sarcopterygii	NC_000001.11	92347245	92347271	27	*	15
sarcopterygii	NC_000001.11	96805616	96805643	28	*	15
sarcopterygii	NC_000001.11	97514222	97514337	116	*	20
