seqnames,start,end,width,strand,phastcons,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,flank_txIds,flank_geneIds,flank_gene_distances
NC_133194.1,38382,38628,247,*,20,Promoter (<=1kb),20,37040,39220,2181,2,gja9b,NM_207093.1,592,NM_207093.1;NM_001040051.1;NM_200533.2;XM_073930632.1,gja9b;mycbp;srsf10b;srsf10b,0;4095;7880;7888
NC_133194.1,103733,104050,318,*,23,Intron (XM_073931252.1/col14a1b, intron 30 of 46),20,115120,119774,4655,1,zhx2b,XM_005169973.6,-11070,XM_073931252.1;XM_073931253.1;XM_073931254.1;XM_073931255.1;XM_073931249.1;XM_073931250.1;XM_073931251.1,col14a1b;col14a1b;col14a1b;col14a1b;col14a1b;col14a1b;col14a1b,0;0;0;0;0;0;0
NC_133194.1,127609,127704,96,*,15,Intron (NM_213426.1/hnrnpr, intron 6 of 6),20,120770,123944,3175,2,dnajc8,NM_001045306.1,-3665,NM_001045306.1;NM_213426.1,dnajc8;hnrnpr,-3665;0
NC_133194.1,147528,147632,105,*,18,Intron (XR_012394769.1/adgrb1b, intron 23 of 29),20,135621,137148,1528,2,atp5if1a,NM_001089521.1,-10380,XR_012394769.1,adgrb1b,0
NC_133194.1,156130,156186,57,*,14,Promoter (2-3kb),20,144145,158869,14725,2,adgrb1b,XR_012394769.1,2683,XR_012394769.1,adgrb1b,0
NC_133194.1,335209,335343,135,*,22,Promoter (1-2kb),20,333645,338918,5274,1,rnf139,NM_001123048.1,1564,XM_005173717.6;NM_001123048.1;XM_073930449.1;XM_073930450.1;XM_073930452.1;XM_073930453.1;XM_073930454.1;NM_001002213.1,rnf139;rnf139;tatdn1;tatdn1;tatdn1;tatdn1;tatdn1;tatdn1,0;0;6771;6771;6771;6771;6771;6739
NC_133194.1,426581,426732,152,*,28,Intron (XM_003200501.7/syngap1a, intron 5 of 20),20,407771,444727,36957,1,syngap1a,XM_073931328.1,18810,XM_003200501.7;XM_005159316.6;XM_005159317.6;XM_073931327.1;XM_009293917.5;XM_005159318.6;XM_073931328.1,syngap1a;syngap1a;syngap1a;syngap1a;syngap1a;syngap1a;syngap1a,0;0;0;0;0;0;0
NC_133194.1,428262,428387,126,*,19,Intron (XM_003200501.7/syngap1a, intron 9 of 20),20,407771,444727,36957,1,syngap1a,XM_073931328.1,20491,XM_003200501.7;XM_005159316.6;XM_005159317.6;XM_073931327.1;XM_009293917.5;XM_005159318.6;XM_073931328.1,syngap1a;syngap1a;syngap1a;syngap1a;syngap1a;syngap1a;syngap1a,0;0;0;0;0;0;0
NC_133194.1,457416,457478,63,*,14,Promoter (1-2kb),20,457332,459188,1857,2,lingo4a,NM_001082978.1,1710,XM_005159310.6;NM_001082978.1,lingo4a;lingo4a,0;0
NC_133194.1,458291,458336,46,*,21,Promoter (<=1kb),20,457332,459188,1857,2,lingo4a,NM_001082978.1,852,XM_005159310.6;NM_001082978.1,lingo4a;lingo4a,0;0
NC_133194.1,597933,598027,95,*,21,Promoter (2-3kb),20,583852,595583,11732,2,dus3l,NM_200674.2,-2350,NM_200674.2;XM_003200502.5;XR_012394781.1,dus3l;mterf1;mterf1,-2350;0;0
NC_133194.1,601297,601426,130,*,20,Promoter (2-3kb),20,596113,603575,7463,2,mterf1,XM_003200502.5,2149,XM_073931264.1;XM_073931266.1;XM_073931267.1;XM_073931268.1;XM_073931269.1;XM_073931270.1;XM_073931271.1;XM_073931272.1;XM_073931273.1;XM_073931277.1;XM_073931278.1;XM_073931280.1;XM_073931274.1;XM_073931275.1;XM_073931281.1;XM_073931282.1;XM_073931288.1;XR_012394772.1;XM_003200502.5;XR_012394781.1,akap9;akap9;akap9;akap9;akap9;akap9;akap9;akap9;akap9;akap9;akap9;akap9;akap9;akap9;akap9;akap9;akap9;akap9;mterf1;mterf1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,836211,836293,83,*,15,Promoter (2-3kb),20,824516,838433,13918,2,slc6a19a.1,NM_001098178.1,2140,NM_001098178.1,slc6a19a.1,0
