seqnames	start	end	width	strand	phastcons	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	gene_name	mean_tpm	z_fpkm	is_active
NC_133176.1	388023	388123	101	*	17	Promoter (<=1kb)	2	387819	393105	5287	1	f7	NM_131819.2	204	gene-f7	2.162044	-0.731769066795367	TRUE
NC_133176.1	636370	636523	154	*	19	Intron (XM_009305228.4/rasa3, intron 21 of 24)	2	630298	685885	55588	2	rasa3	XM_009305228.4	49362	gene-rasa3	4.8418245	-0.304598818860067	TRUE
NC_133176.1	976398	977154	757	*	28	Intron (XM_073947774.1/adamts5, intron 8 of 9)	2	968736	1013664	44929	2	adamts5	XM_073947774.1	36510	gene-adamts5	0.677563	-1.47378049186448	TRUE
NC_133176.1	1322598	1322758	161	*	17	Intron (XM_073948923.1/gart, intron 16 of 21)	2	1314905	1349146	34242	2	gart	XM_073948923.1	26388	gene-gart	85.169859	1.48804563045479	TRUE
NC_133176.1	2313846	2313954	109	*	25	Promoter (2-3kb)	2	2302502	2316435	13934	2	LOC100333907	XR_012405145.1	2481	gene-LOC100333907	0.1730215	-2.23774517972251	TRUE
NC_133176.1	2432483	2432603	121	*	17	Intron (XR_012402744.1/atp1a1a.4, intron 4 of 22)	2	2425871	2442276	16406	1	atp1a1a.4	XR_012402744.1	6612	gene-atp1a1a.4	38.8038825	0.994274659241649	TRUE
NC_133176.1	2432682	2432821	140	*	18	Intron (XR_012402744.1/atp1a1a.4, intron 5 of 22)	2	2425871	2442276	16406	1	atp1a1a.4	XR_012402744.1	6811	gene-atp1a1a.4	38.8038825	0.994274659241649	TRUE
NC_133176.1	2544047	2544131	85	*	16	Intron (XR_012405284.1/LOC108187381, intron 1 of 6)	2	2507723	2557421	49699	2	LOC108187381	XR_012405284.1	13290	gene-LOC108187381	0.0060845	-3.92616247296916	FALSE
NC_133176.1	7551021	7551152	132	*	24	Intron (NM_001145693.1/abcb6a, intron 6 of 19)	2	7537798	7561292	23495	1	abcb6a	NM_001145693.1	13223	gene-abcb6a	2.05025	-0.83121383069329	TRUE
NC_133176.1	7835019	7835146	128	*	21	Intron (NM_001020643.2/klf7a, intron 1 of 3)	2	7803542	7899755	96214	2	klf7a	NM_001020643.2	64609	gene-klf7a	1.3673195	-1.03929270123329	TRUE
NC_133176.1	11034157	11034315	159	*	31	Intron (XR_011015243.2/elfn1b, intron 2 of 7)	2	10969547	11088817	119271	1	elfn1b	XR_011015243.2	64610	gene-elfn1b	0.329623	-2.34283700120648	TRUE
NC_133176.1	11042627	11042785	159	*	33	Intron (XR_011015243.2/elfn1b, intron 2 of 7)	2	10969547	11088817	119271	1	elfn1b	XR_011015243.2	73080	gene-elfn1b	0.329623	-2.34283700120648	TRUE
NC_133176.1	14663262	14663347	86	*	15	Promoter (2-3kb)	2	14656193	14666177	9985	2	pcdh18a	XM_005159845.5	2830	gene-pcdh18a	9.4330445	0.108571874848735	TRUE
NC_133176.1	15465464	15465560	97	*	15	Intron (XM_068221008.2/ank2a, intron 2 of 51)	2	15413015	15547267	134253	1	ank2a	XM_068221008.2	52449	gene-ank2a	6.922411	-0.0770908747570513	TRUE
NC_133176.1	15498497	15498577	81	*	15	Intron (XM_068221008.2/ank2a, intron 15 of 51)	2	15492484	15506467	13984	2	LOC141385202	XR_012405551.1	7890	gene-LOC141385202	0.0093685	-4.07488725344652	FALSE
