target	rank	chrom	start	end	n_cne
chr1	1	chr1	90000001	91000000	17
chr1	2	chr1	62000001	63000000	9
chr1	3	chr1	10000001	11000000	7
chr2	1	chr2	178000001	179000000	35
chr2	2	chr2	151000001	152000000	10
chr2	3	chr2	170000001	171000000	9
chr10_p_telomere	1	chr10	1	1000000	10
chr10_p_telomere	2	chr10	8000001	9000000	6
chr10_p_telomere	3	chr10	1000001	2000000	4
chr10_q_telomere	1	chr10	129000001	130000000	16
chr10_q_telomere	2	chr10	128000001	129000000	9
chr10_q_telomere	3	chr10	125000001	126000000	5
